time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.002952,0.264718,-0.996622,-9.713623
0.036250,0.325623,-0.958313,-9.928211
0.069612,0.314849,-0.997370,-9.712127
0.103012,0.297041,-0.976720,-9.740858
0.136258,0.274296,-0.985249,-9.774977
0.169607,0.277139,-0.993779,-9.743851
0.202941,0.260079,-0.987643,-9.739810
0.236283,0.255441,-0.989589,-9.770787
0.269610,0.268609,-0.993480,-9.749687
0.303018,0.259780,-0.984202,-9.752081
0.336278,0.253944,-0.997819,-9.755822
0.369615,0.259182,-0.979563,-9.734723
0.403021,0.263970,-0.989290,-9.738314
0.436270,0.273098,-0.987045,-9.733525
0.469604,0.268908,-0.986596,-9.716317
0.502976,0.265916,-0.994377,-9.739212
0.536275,0.270106,-0.986746,-9.741307
0.569605,0.254393,-0.994976,-9.746095
0.602943,0.277139,-1.002009,-9.743851
0.636275,0.256039,-0.994826,-9.762556
0.669610,0.253645,-0.973876,-9.743252
0.703023,0.244966,-0.964598,-9.707338
0.736277,0.232545,-0.965945,-9.744300
0.769649,0.243768,-0.968788,-9.760611
0.803021,0.237633,-0.969237,-9.756421
0.836274,0.238980,-0.980461,-9.823162
0.869610,0.260379,-0.959660,-9.703597
0.902964,0.269657,-0.978964,-9.735471
0.936272,0.229253,-0.972978,-9.764053
0.969688,0.240776,-0.984501,-9.763454
1.003052,0.267412,-0.960558,-9.742504
1.036275,0.289858,-0.937812,-9.752231
1.069610,0.259032,-0.963401,-9.793233
1.103003,0.248707,-0.960708,-9.772133
1.136346,0.282825,-0.952777,-9.762706
1.169612,0.333554,-0.927637,-9.658704
1.203004,0.357946,-0.931527,-9.678307
1.236278,0.269507,-0.968788,-9.829896
1.269623,0.262623,-0.972829,-9.838126
1.303006,0.347321,-0.915216,-9.655262
1.336287,0.373060,-0.871969,-9.624436
1.369615,0.344179,-0.929881,-9.762855
1.403014,0.314849,-0.942900,-9.848002
1.436281,0.357946,-0.918508,-9.751333
1.469622,0.346573,-0.937064,-9.697910
1.503007,0.345526,-0.941254,-9.720058
1.537037,0.354953,-0.923447,-9.707488
1.569614,0.356001,-0.935717,-9.720955
1.603006,0.346124,-0.939159,-9.759863
1.636286,0.332357,-0.945743,-9.776772
1.669618,0.313652,-0.946342,-9.768692
1.702990,0.315896,-0.955620,-9.754924
1.736272,0.310509,-0.941404,-9.740708
1.769616,0.321134,-0.945294,-9.738913
1.802982,0.313203,-0.949784,-9.758665
1.836292,0.329813,-0.950682,-9.761359
1.869627,0.320984,-0.952777,-9.767195
1.902993,0.315747,-0.954423,-9.742803
1.936281,0.331010,-0.942302,-9.738613
1.969618,0.335948,-0.955770,-9.749537
2.003069,0.336397,-0.941553,-9.734723
2.036281,0.330711,-0.951430,-9.750136
2.069656,0.324127,-0.947240,-9.743851
2.103022,0.336397,-0.946043,-9.735172
2.136373,0.343431,-0.933323,-9.736818
2.169626,0.347770,-0.934670,-9.731580
2.203014,0.350464,-0.939608,-9.734124
2.236288,0.348818,-0.940805,-9.736668
2.269620,0.343730,-0.932874,-9.739511
2.302871,0.351661,-0.937513,-9.726492
2.336292,0.346124,-0.936316,-9.735321
2.369620,0.341635,-0.947389,-9.740858
2.403024,0.347321,-0.940356,-9.734423
2.436327,0.340737,-0.936316,-9.742504
2.469618,0.342533,-0.953674,-9.746245
2.502951,0.342832,-0.946791,-9.737416
2.536184,0.336996,-0.952328,-9.730533
2.569617,0.337744,-0.944696,-9.744449
2.602939,0.335499,-0.949335,-9.754775
2.636275,0.337445,-0.953824,-9.740708
2.669129,0.338343,-0.943050,-9.745198
2.702950,0.339689,-0.948886,-9.744449
2.735758,0.335200,-0.934371,-9.744898
2.769616,0.347321,-0.938411,-9.738464
2.802945,0.350763,-0.944247,-9.748041
2.836275,0.345376,-0.942002,-9.741457
2.869605,0.346573,-0.939608,-9.741157
2.902987,0.346423,-0.944995,-9.738015
2.936275,0.345526,-0.943648,-9.745048
2.969610,0.349416,-0.933024,-9.740110
3.002946,0.347321,-0.943798,-9.740559
3.036275,0.347471,-0.931827,-9.741756
3.069611,0.350015,-0.939758,-9.738164
3.102981,0.350913,-0.943349,-9.754027
3.136276,0.338043,-0.938860,-9.745347
3.169612,0.336098,-0.946641,-9.738464
3.203006,0.352858,-0.951430,-9.743103
3.236275,0.343730,-0.947838,-9.738164
3.269614,0.328167,-0.941553,-9.735321
3.302939,0.339540,-0.943648,-9.739661
3.336285,0.334901,-0.945145,-9.744000
3.369608,0.340587,-0.943798,-9.739511
3.402947,0.343281,-0.941254,-9.732628
3.436271,0.344328,-0.944696,-9.742504
3.469612,0.337894,-0.938860,-9.746395
3.502937,0.343431,-0.935568,-9.749837
3.536268,0.344927,-0.939907,-9.734723
3.569624,0.338343,-0.941553,-9.738314
3.603015,0.348069,-0.944696,-9.740110
3.636276,0.336547,-0.935119,-9.745946
3.669612,0.349716,-0.947689,-9.748190
3.703034,0.346573,-0.938561,-9.751183
3.736273,0.352110,-0.945444,-9.741457
3.769625,0.349117,-0.944097,-9.734723
3.803020,0.346124,-0.934371,-9.747742
3.836281,0.349716,-0.938261,-9.745946
3.869613,0.344628,-0.942451,-9.755673
3.903017,0.343431,-0.947539,-9.737566
3.936276,0.341485,-0.943499,-9.748789
3.969619,0.341784,-0.938561,-9.745796
4.003099,0.344628,-0.936017,-9.747442
4.036320,0.344179,-0.937064,-9.742354
4.069600,0.342832,-0.946192,-9.734573
4.102973,0.348518,-0.953674,-9.738015
4.136342,0.340887,-0.950083,-9.750435
4.169656,0.340737,-0.948736,-9.729784
4.202918,0.343879,-0.949784,-9.735620
4.236334,0.347621,-0.939009,-9.748340
4.269533,0.353008,-0.937962,-9.752979
4.302940,0.346124,-0.940207,-9.743252
4.335423,0.341635,-0.942900,-9.743252
4.369590,0.342533,-0.935568,-9.742953
4.402555,0.336697,-0.942900,-9.749837
4.435894,0.342533,-0.945145,-9.742504
4.469067,0.353157,-0.941104,-9.745946
4.502934,0.343879,-0.943948,-9.736967
4.536269,0.344478,-0.949484,-9.739362
4.569661,0.341485,-0.936914,-9.739810
4.602064,0.348967,-0.930779,-9.725744
4.636289,0.333404,-0.949634,-9.753727
4.669599,0.347920,-0.943199,-9.724248
4.703008,0.342084,-0.938261,-9.738613
4.736335,0.357497,-0.939458,-9.751782
4.769596,0.335799,-0.947988,-9.754924
4.802935,0.345825,-0.938112,-9.730682
4.836284,0.343281,-0.942451,-9.744749
4.869670,0.342982,-0.940057,-9.746993
4.903006,0.345675,-0.939907,-9.741457
4.936273,0.347172,-0.942900,-9.747592
4.969680,0.342832,-0.947240,-9.730682
5.003052,0.338193,-0.946342,-9.747293
5.036320,0.349716,-0.934819,-9.744449
5.069592,0.351511,-0.931228,-9.752530
5.103035,0.345077,-0.940356,-9.753278
5.136289,0.344179,-0.940805,-9.748490
5.169609,0.342233,-0.945294,-9.742354
5.203003,0.345974,-0.940207,-9.742803
5.236364,0.354953,-0.911326,-9.733974
5.269627,0.370067,-0.967292,-9.757917
5.302995,0.330711,-0.953525,-9.766148
5.336333,0.344328,-0.934670,-9.715718
5.369591,0.352559,-0.933772,-9.752380
5.402998,0.341485,-0.934520,-9.712875
5.436279,0.350913,-0.942451,-9.730832
5.469608,0.343431,-0.939758,-9.753578
5.503004,0.352409,-0.939309,-9.736818
5.536298,0.346573,-0.928834,-9.721704
5.569013,0.342084,-0.939009,-9.756720
5.603022,0.329963,-0.937363,-9.745796
5.636284,0.345825,-0.940207,-9.738763
5.669600,0.354504,-0.945594,-9.746844
5.703004,0.342533,-0.934520,-9.740708
