time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.015662,0.003843,0.001400,0.007918
0.045654,0.018118,-0.004568,0.009910
0.085643,0.021054,-0.003051,0.006613
0.115635,0.013564,-0.002039,0.008322
0.145627,0.012280,0.001657,0.007755
0.185616,0.003982,0.004276,0.007284
0.215608,-0.002085,0.001633,0.006176
0.245600,0.001470,0.001558,0.007511
0.285589,0.001906,0.000826,0.007655
0.315581,0.006991,0.002458,0.006166
0.345573,0.013266,0.001003,0.007567
0.385562,0.018632,-0.001565,0.008534
0.415553,0.018376,-0.000965,0.005741
0.445545,0.012380,-0.002444,0.007072
0.485534,0.008814,-0.000239,0.006662
0.515526,0.005104,-0.000780,0.009360
0.545518,0.004785,-0.004790,0.007227
0.585507,0.004454,-0.004392,0.006413
0.615499,0.006677,-0.006025,0.005001
0.645491,0.004860,-0.001844,0.007529
0.685480,0.005213,-0.000581,0.008887
0.715472,0.005355,-0.001815,0.004910
0.745464,0.000506,0.005573,0.004859
0.785453,-0.000215,0.001769,0.008899
0.815444,0.017929,-0.000884,0.007103
0.845436,0.022145,0.001238,0.006095
0.885425,0.020937,-0.002777,0.009462
0.915417,0.022105,0.002185,0.008819
0.945409,0.019748,-0.000983,0.008277
0.985398,0.013638,0.000172,0.007327
1.015390,0.010164,0.000930,0.008140
1.045382,0.005107,-0.000710,0.006481
1.085371,-0.002880,0.003563,0.004134
1.115363,-0.003719,0.004896,0.007468
1.145355,0.008731,0.005428,0.009229
1.185344,0.029591,0.002705,0.008400
1.215335,0.021008,0.000168,0.006845
1.245327,0.014901,-0.003915,0.007339
1.285316,-0.003769,-0.004905,0.004742
1.315308,-0.016272,-0.000107,0.003909
1.345300,-0.028444,0.009265,0.002858
1.385289,-0.019687,0.004336,0.008059
1.415281,-0.004643,0.005607,0.007119
1.445273,0.005527,0.004293,0.006881
1.485262,0.012749,0.001823,0.008439
1.515254,0.011328,0.002442,0.006387
1.545246,0.012887,0.000660,0.007277
1.585235,0.024165,-0.004871,0.006872
1.615227,0.023918,-0.004039,0.008009
1.645218,0.024876,-0.009377,0.009742
1.685207,0.012458,-0.004858,0.005253
1.715199,0.005604,-0.003056,0.006593
1.745191,0.003964,-0.001671,0.007070
1.785179,0.003841,0.002185,0.006586
1.815171,0.005707,0.001577,0.006607
1.845164,0.007080,-0.000912,0.004806
1.885152,0.006230,0.000138,0.009638
1.915144,0.003822,0.002149,0.007405
1.945136,0.002846,-0.000759,0.007632
1.985125,0.002095,-0.000472,0.005987
2.015117,0.002582,-0.000272,0.005863
2.045108,0.003493,-0.000163,0.005768
2.085098,0.012881,-0.000481,0.007095
2.115090,0.015052,0.000432,0.009656
2.145082,0.018146,0.002096,0.008763
2.185071,0.014529,0.001950,0.009374
2.215063,0.012520,-0.000088,0.007583
2.245055,0.006846,0.002074,0.007909
2.285044,0.006418,0.006431,0.007690
2.315036,0.005745,0.002938,0.008419
2.345028,0.001867,0.002452,0.004886
2.385017,0.004481,0.005292,0.007244
2.415009,0.001249,0.000573,0.006571
2.445000,0.000198,0.002528,0.007018
2.484989,0.005641,-0.000152,0.006171
2.514981,0.006271,0.005543,0.008213
2.544973,0.008948,0.003202,0.008458
2.584962,0.008863,0.001593,0.006898
2.614954,0.011136,0.000357,0.005971
2.644946,0.014287,0.002053,0.008463
2.684935,0.012003,-0.000144,0.006994
2.714927,0.011382,0.000020,0.006271
2.744919,0.005122,0.000616,0.006305
2.784908,0.001280,0.001365,0.007928
2.814899,0.004561,-0.000968,0.006069
2.844891,0.006712,0.002919,0.008004
2.884880,0.006220,0.002342,0.006365
2.914872,0.008760,0.001289,0.004043
2.944864,0.008828,0.000240,0.007173
2.984853,0.011086,0.000376,0.006977
3.014845,0.010296,-0.000756,0.007579
3.044837,0.009848,-0.000177,0.006538
3.084826,0.012093,0.001655,0.009093
3.114818,0.005467,0.000206,0.006963
3.144810,0.005144,0.000194,0.008301
3.184799,0.003474,0.001742,0.006763
3.214790,0.009522,-0.001520,0.007353
3.244782,0.008388,-0.001699,0.007207
3.284771,0.006506,-0.001112,0.007001
3.314763,0.004946,-0.002594,0.005811
3.344755,0.008140,-0.003024,0.007436
3.384744,0.011673,-0.002937,0.008179
3.414736,0.009021,-0.002187,0.007004
3.444728,0.009564,-0.001341,0.007982
3.484717,0.004364,-0.001829,0.006825
3.514709,0.001442,0.001081,0.006292
3.544700,0.004539,0.004868,0.006536
3.584690,0.005494,0.001384,0.008017
3.614681,0.004249,0.000987,0.009665
3.644673,0.009458,0.002207,0.008170
3.684662,0.008497,-0.001840,0.006208
3.714654,0.007880,0.002812,0.007167
3.744646,0.007926,0.001708,0.006817
3.784635,0.009037,0.000690,0.005712
3.814627,0.011081,-0.001097,0.006058
3.844619,0.007781,-0.001225,0.009138
3.884608,0.009981,-0.001366,0.006693
3.914600,0.001742,0.000644,0.008802
3.944591,0.004963,-0.000659,0.007130
3.984580,0.003755,0.002251,0.008830
4.014572,0.001663,0.003153,0.006782
4.044564,0.004604,0.001290,0.007230
4.084553,0.004845,0.000525,0.006999
4.114544,0.009296,0.002353,0.007907
4.144536,0.008700,0.001731,0.006016
4.184525,0.003922,0.002581,0.009862
4.214517,0.006873,0.000528,0.009488
4.244509,0.006402,0.001373,0.006856
4.284498,0.006058,0.004120,0.007612
4.314489,0.006969,0.003314,0.011280
