time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.015823,1.132049,-2.287592,-9.282053
0.049592,0.928385,-2.417631,-9.549914
0.082912,1.065757,-2.508614,-9.588671
0.116230,0.622664,-2.154559,-9.125077
0.149549,0.737141,-2.751635,-9.676063
0.182887,0.824084,-3.012163,-9.891249
0.216252,0.823934,-2.888707,-9.472399
0.249543,0.582261,-2.575654,-9.326347
0.282949,0.569990,-2.359570,-9.081681
0.316269,0.941553,-2.563982,-9.486016
0.349526,1.390482,-2.700457,-10.095063
0.382887,1.107657,-2.718264,-9.712426
0.415909,0.902497,-2.281456,-9.362112
0.449233,0.708260,-2.308093,-9.102780
0.482953,0.763179,-2.274274,-9.346848
0.515669,0.522104,-2.118046,-9.427057
0.549658,0.396255,-2.012099,-9.386503
0.582877,0.459853,-2.121338,-9.417330
0.616234,0.565800,-2.155457,-9.499783
0.649545,0.644063,-2.066569,-9.510109
0.682939,0.675638,-2.107122,-9.612464
0.716059,0.572983,-2.118346,-9.521032
0.749527,0.506841,-2.041429,-9.449952
0.782951,0.593185,-2.057142,-9.609771
0.816204,0.603360,-2.116849,-9.620994
0.849647,0.583607,-2.093804,-9.539738
0.882879,0.562807,-1.951194,-9.506966
0.916266,0.602313,-2.088866,-9.590018
0.949541,0.549938,-2.094852,-9.540336
0.982856,0.573581,-2.088267,-9.555151
1.015609,0.550237,-2.155008,-9.444415
1.049587,0.560114,-2.078391,-9.501729
1.083014,0.545748,-2.102932,-9.546322
1.116194,0.568344,-2.065671,-9.560389
1.149521,0.559964,-2.059087,-9.582985
1.182928,0.559964,-2.065522,-9.525222
1.216195,0.525845,-2.083179,-9.549914
1.249569,0.543952,-2.095151,-9.586426
1.282975,0.557570,-2.058937,-9.619797
1.315819,0.560562,-2.057591,-9.610669
1.349102,0.538565,-2.062678,-9.594806
1.382525,0.518214,-2.042028,-9.558443
1.415822,0.534375,-2.061631,-9.525522
1.449086,0.542007,-2.052952,-9.526569
1.482394,0.529287,-2.088716,-9.575054
1.515440,0.540510,-2.165333,-9.542132
1.549088,0.490230,-2.105177,-9.498586
1.582430,0.517615,-2.097096,-9.466562
1.615730,0.500107,-2.104878,-9.473446
1.649074,0.505344,-2.122236,-9.522679
1.682552,0.498311,-2.169075,-9.538690
1.715736,0.500107,-2.132113,-9.522529
1.749085,0.486938,-2.098742,-9.567721
1.782479,0.483197,-2.118495,-9.549315
1.815795,0.482299,-2.090063,-9.511006
1.849128,0.479905,-2.108619,-9.533752
1.882385,0.489632,-2.095749,-9.550512
1.915501,0.442644,-2.081234,-9.540785
1.949135,0.482150,-2.092906,-9.545724
1.982476,0.524349,-2.056693,-9.573408
2.015242,0.483496,-2.044272,-9.557396
2.049516,0.470926,-2.066419,-9.579244
2.082968,0.456710,-2.040831,-9.615158
2.116740,0.470477,-2.045619,-9.590766
2.149640,0.467634,-2.020479,-9.545724
2.182848,0.465539,-1.998332,-9.548417
2.216265,0.455064,-2.038436,-9.567422
2.249641,0.457458,-2.049510,-9.555450
2.282870,0.456860,-2.027063,-9.587474
2.316833,0.492325,-2.031702,-9.584481
2.349586,0.465988,-2.045469,-9.564130
2.382912,0.446086,-2.039633,-9.549165
2.416581,0.433965,-2.031553,-9.506367
2.448955,0.424537,-2.052503,-9.547370
2.482929,0.441896,-2.068963,-9.579244
2.516393,0.439651,-2.048762,-9.546472
2.549578,0.457309,-2.031702,-9.510258
2.582862,0.460601,-2.022724,-9.557994
2.616592,0.393112,-2.036491,-9.533453
2.649564,0.408226,-2.033199,-9.538840
2.682861,0.413613,-2.078690,-9.579543
2.716442,0.435760,-2.029308,-9.535249
2.749633,0.461349,-2.037239,-9.537792
2.782855,0.463893,-2.047265,-9.507565
2.816607,0.425884,-2.026315,-9.559940
2.849556,0.423639,-2.014344,-9.577598
2.882877,0.440848,-2.040681,-9.537643
2.916426,0.431720,-1.970199,-9.561286
2.949650,0.451622,-1.973790,-9.570415
2.982663,0.414212,-1.938175,-9.567871
3.016403,0.432169,-1.939522,-9.591963
3.049627,0.450725,-1.924109,-9.622640
3.082885,0.431271,-1.932788,-9.582985
3.115653,0.437855,-1.915579,-9.591664
3.149616,0.438304,-1.923660,-9.563082
3.182860,0.434563,-1.911389,-9.583134
3.216824,0.458506,-1.886848,-9.620844
3.249529,0.468233,-1.929945,-9.623987
3.282936,0.432019,-1.888793,-9.604533
3.316394,0.497114,-1.873979,-9.608723
3.349656,0.445487,-1.845995,-9.613362
3.382877,0.412566,-1.872333,-9.554852
3.416581,0.485142,-1.901214,-9.634911
3.449586,0.432468,-1.896874,-9.584182
3.482904,0.462696,-1.886698,-9.607227
3.516233,0.436658,-1.872482,-9.539588
3.549639,0.458656,-1.842853,-9.560688
3.582939,0.425734,-1.891786,-9.559341
3.616735,0.425884,-1.902860,-9.645086
3.649547,0.424836,-1.865299,-9.619498
3.682955,0.461499,-1.791226,-9.604533
3.716789,0.489632,-1.809782,-9.575353
3.749490,0.444739,-1.863204,-9.592861
3.782922,0.416157,-1.854675,-9.632965
3.816569,0.437855,-1.890290,-9.606479
3.849590,0.471375,-1.841057,-9.577598
3.883003,0.449228,-1.775962,-9.584182
3.916205,0.435461,-1.806939,-9.604982
3.949595,0.451473,-1.815768,-9.610968
3.982978,0.425884,-1.831630,-9.604683
4.016201,0.434264,-1.843302,-9.605880
4.049520,0.422891,-1.783894,-9.608723
4.082946,0.433665,-1.814121,-9.598248
4.116201,0.456860,-1.786587,-9.641495
4.149540,0.443991,-1.759951,-9.589419
4.182923,0.428877,-1.770875,-9.616954
4.216189,0.469580,-1.758604,-9.630571
4.249575,0.432318,-1.776112,-9.627578
4.282916,0.425136,-1.832079,-9.586576
4.316186,0.428727,-1.801402,-9.638801
4.349545,0.441297,-1.765039,-9.616205
4.382977,0.441746,-1.752768,-9.613063
4.416174,0.435910,-1.777160,-9.624585
4.449517,0.437257,-1.791974,-9.630272
4.482850,0.439202,-1.787485,-9.629224
4.516215,0.434114,-1.805143,-9.580740
4.549511,0.429924,-1.758454,-9.590317
4.582905,0.439651,-1.828487,-9.616205
4.616212,0.427081,-1.826691,-9.593011
4.649525,0.419000,-1.815169,-9.611716
4.682847,0.414661,-1.845846,-9.598847
4.716230,0.403288,-1.846444,-9.558294
4.749565,0.409872,-1.828038,-9.605880
4.782919,0.434114,-1.823699,-9.589868
4.816208,0.387575,-1.839261,-9.569367
4.849595,0.413015,-1.841506,-9.595704
4.882917,0.443392,-1.865898,-9.635809
4.916204,0.406879,-1.777908,-9.592861
4.949442,0.394459,-1.834024,-9.578795
4.982827,0.401791,-1.862606,-9.600343
5.016216,0.388323,-1.854226,-9.639250
5.049315,0.409423,-1.851981,-9.590317
5.082832,0.409722,-1.813523,-9.583883
5.116315,0.413613,-1.806639,-9.607975
