time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.007041,-0.021113,0.007890,-0.037630
0.037032,0.022967,0.127752,-0.021634
0.067024,-0.035849,0.142905,0.024987
0.107013,-0.033380,0.004431,0.024784
0.137005,-0.016565,0.007221,0.018269
0.166996,-0.037924,0.012273,0.012835
0.206985,-0.034316,0.004720,0.009293
0.236982,-0.033475,0.013271,0.010456
0.266974,-0.070442,0.014199,-0.004155
0.306963,-0.128297,0.027674,0.006361
0.336954,-0.067272,0.107312,-0.000516
0.366946,-0.083709,0.065249,0.033981
0.406935,-0.013268,0.047350,0.001230
0.436927,0.118904,0.058414,-0.079077
0.466918,0.218824,-0.001388,-0.059607
0.506907,0.216092,-0.078780,-0.070816
0.536899,0.161229,-0.104065,-0.057902
0.566891,0.099385,-0.092079,-0.029811
0.606880,0.091098,-0.050583,0.098950
0.636871,0.098999,-0.028795,0.090271
0.666863,0.002151,-0.010074,0.012201
0.706852,0.006544,-0.012191,-0.014226
0.736844,-0.016313,-0.013304,0.005277
0.766836,0.040033,0.004650,0.035994
0.806824,0.117829,0.077145,0.089240
0.836816,0.024130,0.113077,0.049602
0.866808,-0.058815,0.097683,0.028434
0.906797,-0.078484,-0.013491,-0.001227
0.936788,0.007699,-0.086838,-0.006173
0.966780,0.030464,-0.089851,-0.014005
1.006769,0.100772,-0.098690,0.063636
1.036761,0.098860,0.099463,0.110589
1.066753,-0.087449,0.247344,0.120361
1.106741,-0.200357,-0.009129,0.062720
1.136733,-0.068084,-0.143853,0.020360
1.166725,0.101894,-0.087084,0.000358
1.206714,0.094559,-0.012169,-0.009685
1.236702,-0.007500,-0.040383,-0.019666
1.266693,-0.065457,-0.067878,-0.016542
1.306682,-0.008204,-0.080243,-0.033221
1.336674,-0.082629,-0.041313,-0.058027
1.366666,-0.108356,-0.017365,-0.122743
1.406655,-0.165080,-0.054090,-0.192188
1.436646,-0.101147,-0.012937,-0.169266
1.466638,-0.004377,0.049173,-0.090373
1.506627,-0.000976,0.018604,0.012102
1.536619,0.004102,-0.035747,0.047346
1.566610,0.010271,-0.070568,0.055821
1.606599,0.016379,-0.048093,0.041041
1.636591,-0.012128,0.030853,0.013253
1.666583,-0.033870,0.099889,-0.012526
1.706572,-0.014093,0.063337,-0.034367
1.736563,0.024273,0.013758,-0.008688
1.766555,0.082923,-0.000171,0.015185
1.806544,0.071244,0.021705,0.034173
1.836536,0.031903,0.041187,0.038155
1.866527,-0.012565,0.046786,0.005440
