time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.009300,0.411219,-7.939606,-10.246053
0.038792,0.654089,-8.804841,-10.465878
0.072127,0.264569,-8.376264,-9.348943
0.105489,-0.261875,-7.679975,-8.362048
0.138833,-0.446235,-7.366174,-6.602845
0.172156,-0.405383,-7.042047,-6.114261
0.205475,-0.199773,-6.917096,-4.777351
0.238830,-0.213241,-6.397535,-3.381182
0.272220,-0.109389,-6.568428,-2.333083
0.305536,0.235089,-6.597458,-2.198105
0.338896,0.198726,-6.952561,-1.646521
0.372161,0.330412,-7.389668,-1.767582
0.405526,0.531232,-7.604855,-1.513489
0.438865,0.325773,-8.518874,-1.108405
0.472152,-0.234042,-8.356661,-1.178289
0.505500,-0.128843,-8.081018,-1.115738
0.538849,0.063149,-8.736155,-1.731668
0.572161,0.114327,-9.204388,-1.555688
0.605535,0.172838,-9.421370,-0.966693
0.638835,-0.297490,-9.465814,-0.441896
0.672172,-0.168348,-9.465814,-0.448181
0.705512,-0.257835,-9.544377,-0.587648
0.738931,-0.336397,-9.457584,-0.699581
0.772157,-0.503100,-9.333979,-0.432767
0.805543,-0.470926,-9.055493,-0.565650
0.838859,-0.422741,-9.284297,-0.367673
0.872149,-0.317991,-9.064472,-0.410920
0.905490,-0.641669,-9.441572,-0.948138
0.938826,-0.291056,-9.974900,-2.081683
0.972161,-0.422592,-9.821216,-1.709222
1.005497,-0.301979,-10.094614,-1.571850
1.038898,-0.214738,-10.161654,-1.641433
1.072166,-0.540061,-10.012460,-1.308777
1.105481,-0.407029,-10.017099,-1.367737
1.138828,-0.334003,-9.950807,-1.474731
1.172155,-0.234790,-9.865361,-1.720595
1.205474,-0.194835,-9.670077,-1.721492
1.238835,-0.402240,-9.457883,-1.847342
1.272243,-0.470328,-9.446959,-1.951494
1.305506,-0.596028,-9.488111,-2.104878
1.338835,-0.623712,-9.550512,-2.273076
1.372161,-0.647655,-9.620545,-2.314827
1.405543,-0.686263,-9.615457,-2.265744
1.438830,-0.818996,-9.588521,-2.067317
1.472233,-0.872119,-9.501878,-2.056393
1.505363,-0.820941,-9.502028,-2.059686
1.538824,-0.722626,-9.554852,-2.066120
1.572164,-0.656484,-9.582835,-2.189426
1.605491,-0.537368,-9.596303,-2.287143
1.638822,-0.541259,-9.482724,-2.213518
1.672170,-0.473620,-9.462821,-2.257513
1.705482,-0.461050,-9.483023,-2.213369
1.738829,-0.441596,-9.497838,-2.230877
1.772161,-0.449976,-9.530909,-2.213219
1.805544,-0.534375,-9.520584,-2.148424
1.838826,-0.519261,-9.562933,-2.193167
1.872238,-0.499807,-9.575951,-2.233870
1.905511,-0.495019,-9.558144,-2.234618
1.938825,-0.551135,-9.558892,-2.229680
1.972190,-0.555774,-9.564579,-2.303005
2.005555,-0.588396,-9.576251,-2.353884
2.038817,-0.505045,-9.605281,-2.405361
2.072229,-0.499807,-9.581488,-2.387553
2.105527,-0.519710,-9.552607,-2.371990
2.138798,-0.506691,-9.531059,-2.337423
2.172057,-0.459404,-9.526420,-2.331287
2.205474,-0.465240,-9.506966,-2.315126
2.238818,-0.447732,-9.519536,-2.323805
2.272215,-0.503399,-9.489907,-2.313181
2.305480,-0.465988,-9.531507,-2.339518
2.338835,-0.442195,-9.517740,-2.397579
2.372216,-0.401791,-9.568020,-2.370344
2.405513,-0.416307,-9.578495,-2.343259
2.438830,-0.400145,-9.572809,-2.397879
2.472160,-0.382188,-9.555301,-2.381567
2.505488,-0.343131,-9.562933,-2.347599
2.538833,-0.312454,-9.547968,-2.315725
2.572176,-0.323977,-9.532705,-2.323207
2.605495,-0.318590,-9.534500,-2.374385
2.638826,-0.350913,-9.526569,-2.366753
2.672161,-0.347621,-9.535847,-2.341463
2.705508,-0.340587,-9.551859,-2.314976
2.738830,-0.350613,-9.570564,-2.458634
2.772177,-0.317692,-9.580291,-2.429304
2.805481,-0.302129,-9.546472,-2.362264
2.838825,-0.279383,-9.538092,-2.352387
2.872165,-0.297789,-9.530909,-2.390546
2.905470,-0.331160,-9.509959,-2.329192
2.938920,-0.301979,-9.539738,-2.320812
2.972232,-0.332357,-9.543479,-2.408054
3.005547,-0.335200,-9.547519,-2.406109
