time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.009552,0.039686,0.077774,-0.067767
0.039544,-0.039736,0.051948,-0.083547
0.069535,-0.165318,-0.059711,-0.040236
0.109523,-0.016605,-0.259670,0.003557
0.139515,0.015042,-0.448972,-0.043011
0.169506,-0.091587,-0.577002,-0.016398
0.209494,0.131170,-0.424257,0.212673
0.239486,0.260448,-0.072545,-0.044973
0.269477,0.377151,0.288767,-0.246701
0.309466,-0.015750,0.125362,-0.045592
0.339457,-0.326706,-0.230617,0.190735
0.369448,-0.330235,-0.440497,0.275841
0.409437,-0.192254,-0.663790,0.100778
0.439428,-0.288346,-0.769248,0.069369
0.469420,-0.207491,-0.809977,0.055846
0.509408,-0.195691,-0.704737,-0.042180
0.539399,-0.272333,-0.609828,-0.203706
0.569391,-0.179934,-0.494121,-0.279599
0.609379,-0.343248,-0.193028,-0.323096
0.639370,0.024306,0.059808,-0.186813
0.669362,0.304599,0.402240,-0.231749
0.709350,0.436482,0.483528,-0.259586
0.739342,0.729021,0.469616,-0.161188
0.769333,0.749237,0.104218,0.006755
0.809321,0.312890,-0.169842,0.169729
0.839313,0.017735,-0.141782,0.158953
0.879301,0.008158,-0.072053,0.099277
0.909293,0.055718,-0.121266,0.054769
0.939284,0.003849,-0.178462,0.081686
0.969275,0.004936,-0.170948,0.090081
1.009264,-0.005752,-0.064317,0.034502
1.039255,0.068051,0.097004,-0.025499
1.069246,0.144369,0.291472,-0.022212
1.109235,0.041717,0.360546,0.121430
1.139226,-0.015643,0.247526,0.256610
1.169218,-0.125005,0.183886,0.165447
1.209206,0.025779,0.274767,-0.010969
1.239197,0.107469,0.255133,0.004904
1.279186,-0.005518,0.043831,0.053189
1.309177,-0.102044,-0.113654,0.089053
1.339169,-0.073133,-0.144589,0.044236
1.369160,0.010572,-0.067418,-0.036533
1.409148,0.003272,-0.088828,-0.076231
1.439140,-0.068185,-0.144665,-0.026541
1.469131,-0.085347,-0.177257,-0.015006
1.509119,-0.177942,-0.133630,-0.045379
1.539111,-0.293216,-0.012269,-0.022653
1.569102,-0.181150,0.043384,-0.021286
1.609091,0.016498,0.066492,-0.078374
1.639082,0.085975,0.035824,-0.092343
1.679070,-0.016194,-0.112613,0.014846
1.709062,-0.044459,-0.176441,-0.003296
1.739053,0.009351,-0.134478,-0.044549
1.779042,0.075990,-0.035405,-0.060267
1.809033,0.061149,-0.053895,-0.055283
1.839024,-0.004437,-0.085878,-0.013453
1.879013,0.002571,-0.045892,0.016198
1.909004,0.030222,0.015660,0.001337
1.938995,0.037366,0.040513,-0.018717
1.978984,0.072049,-0.024337,0.033086
2.008975,-0.011085,-0.090476,0.078723
2.038967,-0.038744,-0.040825,0.048658
2.078955,0.048353,0.021057,-0.024747
2.108946,0.033710,-0.009913,-0.025724
2.138938,-0.024007,-0.056236,0.034231
2.178926,-0.047998,-0.056633,0.041469
2.208918,0.014717,0.003047,-0.002997
2.238909,-0.023679,0.113720,0.013972
2.278897,0.023568,0.105905,0.050239
2.308889,0.092502,0.032411,0.070189
2.338880,0.078642,-0.035229,0.108267
2.378869,0.061182,-0.109570,0.090234
2.408860,0.115274,-0.039758,0.035181
2.438851,0.065479,0.055321,-0.017467
2.478840,0.102521,-0.010183,-0.054034
2.508831,0.210858,-0.042450,0.021395
2.538822,0.103464,-0.025957,0.133720
2.578811,-0.054801,-0.041443,0.162713
2.608802,-0.027288,-0.120872,0.076177
2.638794,0.048714,-0.174501,-0.025817
2.678782,0.059297,-0.030126,-0.082397
2.708773,0.019511,0.042311,-0.105295
2.738765,0.027673,0.046995,-0.056706
2.778753,0.000598,-0.032793,0.030778
2.808744,-0.109563,-0.102878,0.015483
2.838736,-0.045269,-0.081315,-0.012210
2.878724,-0.071445,-0.006527,-0.073749
2.908716,-0.063261,-0.041521,-0.078018
2.938707,-0.059764,-0.086644,-0.034355
2.978695,-0.067735,-0.088013,0.057627
3.008687,-0.041026,-0.075317,0.087828
3.038678,-0.008147,-0.061293,0.091445
3.078667,0.032883,-0.052783,0.017774
3.108658,0.049340,-0.010317,-0.007746
3.138649,0.059277,-0.007260,-0.024777
3.178638,-0.037561,-0.014289,0.041386
3.208629,-0.003769,-0.012404,0.038631
3.238620,0.030933,0.002430,0.028989
3.278609,0.023904,0.041778,-0.020421
3.308600,0.027804,0.047003,-0.040027
3.338592,0.050335,0.002602,-0.009349
3.378580,0.102904,-0.067149,0.008546
3.408571,0.053219,-0.129090,0.016910
3.438563,0.014018,-0.147681,0.018345
3.478551,0.021233,-0.082576,-0.005944
3.508543,0.019360,-0.060888,-0.012836
3.538534,0.015402,-0.047015,-0.030911
3.578522,0.056646,-0.012043,-0.039768
3.608514,0.109417,0.023844,0.009751
3.638505,0.063120,-0.026361,0.063354
3.678494,0.068769,-0.082579,0.117160
3.708485,0.081739,-0.081624,0.095587
3.738476,-0.004808,-0.093022,0.034156
3.778465,-0.032354,-0.009735,0.008270
3.808456,-0.045181,-0.016535,-0.008941
3.838447,-0.041056,-0.042440,-0.033613
3.878436,-0.001433,-0.016608,-0.041485
3.908427,0.011191,-0.033029,-0.042601
3.938419,-0.004717,-0.078065,-0.038307
3.978407,0.003620,-0.107824,-0.001356
4.008398,-0.002381,-0.077204,0.005779
4.044640,-0.016856,-0.018361,0.022274
4.084628,0.064799,0.000545,0.029114
4.114620,0.031326,-0.028820,0.048409
4.144611,-0.016676,-0.058848,0.049260
4.184599,0.027965,0.000715,0.031624
4.214591,0.048419,0.011456,0.001349
4.244582,0.069276,-0.040629,-0.021537
4.284570,0.013412,-0.010455,-0.004276
4.314562,0.060832,0.018737,0.025842
4.344553,0.025611,0.025660,0.071709
4.384542,-0.050204,-0.014652,0.129943
4.414533,-0.011506,-0.012099,0.147094
4.444524,-0.006289,0.007075,0.065887
4.484513,0.023771,0.034043,-0.031185
4.514504,0.044276,0.021168,-0.072160
4.544494,-0.024782,0.012553,-0.063086
4.574485,-0.037542,-0.020853,-0.028359
4.604476,0.007582,-0.033705,0.002228
4.644465,0.011196,0.005012,0.022716
4.674456,0.002611,0.029872,0.043454
4.704448,-0.004455,0.025982,0.063194
4.744436,-0.003017,-0.003482,0.078743
4.774427,0.058835,-0.011315,0.063878
4.804419,0.097776,0.010069,0.020265
4.844407,0.069748,0.022883,0.012976
4.874399,0.030393,-0.011180,0.051205
4.904390,0.008238,-0.021957,0.076951
4.944382,0.018652,0.018591,0.062245
4.974374,0.048762,0.030964,0.022436
5.004365,0.029072,0.038891,0.001801
5.044354,0.004414,-0.002066,0.005961
5.074345,-0.023315,-0.032896,-0.026167
5.104336,-0.012453,-0.016050,-0.042323
5.144325,0.046244,-0.018370,-0.025888
5.174316,-0.023490,-0.034990,0.003659
5.204307,-0.005845,-0.022890,0.017344
5.244296,0.034180,-0.003821,0.006648
5.274287,0.020807,-0.047730,0.001272
5.304279,0.013137,-0.070528,-0.008101
5.344267,-0.040356,-0.021195,-0.026062
5.374258,-0.014707,-0.029802,-0.033646
5.404250,0.057715,-0.063154,-0.046237
5.444238,0.045080,-0.064523,-0.045744
5.474230,-0.041003,-0.022272,-0.045144
5.504221,0.024943,-0.001850,-0.020413
5.544209,0.026383,0.003131,0.005455
5.574201,-0.001727,-0.007875,0.045427
5.604192,0.028791,-0.004567,0.052687
5.644181,-0.004753,-0.009884,0.023902
5.674172,0.007413,-0.027266,-0.002570
5.704163,0.041871,-0.031051,-0.021882
5.744152,-0.016197,-0.020095,-0.029468
5.774143,0.016925,-0.001850,-0.021098
5.804134,0.037580,0.010188,0.001909
5.844123,-0.008755,-0.009488,0.007910
5.874114,0.011665,0.017882,0.016895
5.904106,0.019663,0.025463,0.006796
5.944091,0.011565,-0.015345,0.037146
5.974082,-0.026858,-0.018157,0.036664
6.004074,0.017833,0.007081,0.011664
6.044062,0.050351,0.016154,0.016175
6.074054,0.016881,-0.021204,0.037268
6.104045,-0.016278,-0.018700,0.038244
6.144033,-0.021908,0.041439,0.010069
6.174025,-0.027862,0.044301,-0.006557
6.204016,-0.032903,0.041227,-0.004533
6.244005,0.017811,0.027810,-0.002218
6.273996,0.005998,0.009122,0.023720
6.303987,0.006789,-0.011161,0.047479
6.343976,0.025310,-0.012076,0.026326
6.373967,0.011638,0.007637,0.014288
6.403958,0.003955,0.025628,0.001518
6.443947,0.031174,0.008009,0.023142
6.473938,0.034365,-0.023996,0.053476
6.503930,0.008658,-0.035176,0.049786
6.543918,-0.003456,-0.004477,0.019078
6.573909,0.005047,0.025772,-0.004861
6.603901,-0.013062,0.010186,-0.001401
6.643889,-0.007879,-0.016023,-0.004102
6.673880,-0.003963,-0.007244,-0.003947
6.703872,-0.018812,0.000664,-0.022002
6.743860,0.016078,-0.013185,-0.026616
6.773852,0.021377,-0.037435,0.004137
6.803843,-0.000550,-0.037527,0.015497
6.843831,0.010495,-0.009146,0.018966
6.873823,0.041287,-0.005157,0.004518
6.903814,0.034591,-0.011670,-0.004780
6.943806,0.004520,-0.010163,-0.001231
6.973797,0.033053,-0.021311,-0.005579
7.003788,0.036436,-0.016895,0.016348
7.043777,-0.002136,-0.021713,0.015059
7.073768,0.006950,0.001448,-0.000727
7.103760,0.024945,-0.003519,-0.025377
7.143748,-0.014697,-0.003534,-0.019833
7.173739,0.001181,-0.028586,0.011614
7.203731,-0.002223,-0.044544,0.007821
7.243719,0.023155,-0.005674,-0.012193
7.273710,0.026355,0.008353,-0.009227
7.303702,-0.006701,-0.022909,0.012740
7.343690,-0.031176,-0.020543,0.010151
7.373682,0.021922,0.001407,-0.011209
7.403673,0.020465,-0.013293,-0.038323
7.443661,-0.001153,-0.041880,-0.018982
7.473653,0.008385,-0.048327,-0.000960
7.503644,0.016759,-0.038467,-0.013324
7.543633,0.047409,-0.032723,-0.010052
7.573624,0.009160,-0.037079,0.010113
7.603615,0.010232,-0.021731,0.018950
7.643604,0.019825,0.013087,0.010628
7.673595,-0.026677,0.017033,-0.003786
7.703587,-0.036064,0.029337,-0.003900
7.743575,0.039380,0.012345,-0.002212
7.773566,0.025776,-0.034919,0.014637
7.803558,0.017593,-0.058500,0.025848
7.843546,0.028611,-0.024672,0.013099
