time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.009674,-0.166553,-6.744857,-7.287312
0.033055,-0.166702,-6.725702,-7.314398
0.066324,-0.312903,-6.622598,-7.243916
0.099712,-0.278486,-6.597309,-7.266362
0.132969,-0.348219,-6.508870,-7.194234
0.166406,-0.449827,-6.589976,-6.990570
0.199666,-0.213092,-7.075418,-6.996257
0.233007,-0.270106,-7.193486,-6.851851
0.266327,-0.227906,-7.092178,-6.944480
0.299685,-0.282077,-7.046387,-6.862775
0.332991,-0.393860,-6.886568,-6.816984
0.366463,-0.378597,-6.852599,-6.893452
0.399651,-0.366027,-6.820726,-6.949568
0.432997,-0.370366,-6.916796,-6.848110
0.466458,-0.313951,-6.958547,-6.771942
0.499664,-0.279832,-6.981592,-6.858735
0.533093,-0.291056,-7.016010,-6.808006
0.566457,-0.344777,-6.956302,-6.801721
0.599669,-0.328915,-6.996706,-6.763113
0.632992,-0.390718,-7.002392,-6.856789
0.666377,-0.396853,-7.012268,-6.875794
0.699701,-0.405083,-6.903777,-6.839730
0.733009,-0.431271,-6.859782,-6.950466
0.766376,-0.335649,-6.761317,-6.989523
0.799688,-0.154432,-6.948820,-7.109387
0.832976,-0.080508,-7.043694,-7.042496
0.866363,-0.197678,-7.012418,-6.791246
0.899783,-0.186455,-7.012717,-6.698168
0.933005,-0.210398,-7.163109,-6.753536
0.966304,-0.168348,-7.157422,-6.641304
0.999677,-0.185557,-7.182413,-6.604043
1.032987,-0.119265,-7.075567,-6.838084
1.066340,-0.225961,-7.045789,-6.823718
1.099723,-0.260977,-6.903328,-6.956152
1.133144,-0.396703,-6.800973,-6.939243
1.166459,-0.423490,-6.816685,-6.965730
1.199689,-0.473021,-6.979347,-6.925476
1.233037,-0.344628,-7.224911,-7.142458
1.266360,-0.234640,-7.153082,-7.201567
1.299693,-0.127346,-6.992216,-7.213987
1.332999,-0.324576,-6.797381,-6.956152
1.366382,-0.416157,-6.630080,-6.793191
1.399687,-0.458805,-6.686945,-6.670035
1.433105,-0.176279,-6.975307,-6.731688
1.466423,-0.150990,-7.130935,-6.707446
1.499646,-0.170593,-7.249303,-6.627836
1.533056,-0.247958,-7.215633,-6.733633
1.566345,-0.299884,-7.074969,-6.869509
1.599723,-0.324426,-6.980694,-6.955255
1.633138,-0.398649,-6.881780,-6.944181
1.666357,-0.417055,-6.944630,-6.915001
1.699647,-0.371115,-6.944780,-6.927271
1.733048,-0.355252,-7.048781,-6.755032
1.766455,-0.224764,-7.144852,-6.800075
1.799701,-0.199175,-7.154429,-6.744557
1.833031,-0.145303,-7.064195,-6.914402
1.866345,-0.246462,-7.008527,-6.843022
1.899665,-0.313951,-6.966627,-6.899587
1.933007,-0.427829,-6.851253,-6.944929
1.966454,-0.462846,-6.848559,-6.969022
1.999685,-0.402988,-6.839730,-6.992067
2.033088,-0.222968,-6.934305,-7.051176
2.066390,-0.139018,-7.119862,-6.891806
2.099677,-0.125550,-7.086940,-6.902730
2.133008,-0.294946,-6.885521,-6.746353
2.166323,-0.324127,-6.861728,-6.840329
2.199686,-0.252897,-6.961390,-6.846015
2.233009,-0.233892,-7.106394,-6.789749
2.266424,-0.263521,-7.056563,-6.822372
2.299627,-0.304972,-7.116420,-6.877291
2.332999,-0.305870,-6.919939,-6.979197
2.366338,-0.358395,-6.785410,-6.882528
2.399691,-0.372012,-6.853797,-6.785110
2.433020,-0.314400,-7.110883,-6.711785
2.466330,-0.304823,-7.122406,-6.790498
2.499632,-0.262623,-7.161163,-6.863523
2.533004,-0.218479,-7.024539,-7.014513
2.566354,-0.194835,-6.999698,-7.104897
2.599665,-0.279832,-6.928020,-6.936549
2.633001,-0.361088,-6.934155,-6.793042
2.666347,-0.247210,-6.981292,-6.857687
2.699661,-0.295844,-7.018404,-6.687992
2.733013,-0.160717,-7.063147,-6.811597
2.766363,-0.165655,-7.117019,-6.764460
2.799694,-0.254094,-7.112679,-6.805013
2.832990,-0.374407,-6.880882,-6.884623
2.865991,-0.398499,-6.893153,-6.853647
2.899665,-0.329364,-6.971416,-6.928768
2.932998,-0.444290,-7.009276,-6.787654
2.966332,-0.384283,-7.009425,-6.820726
2.999625,-0.332507,-6.942535,-6.954207
3.032995,-0.241673,-6.987128,-6.994311
3.066339,-0.278635,-6.953309,-6.916497
3.099646,-0.313352,-6.958098,-6.909015
3.133014,-0.332058,-6.963485,-6.894799
3.166440,-0.298089,-6.976354,-6.861428
3.199651,-0.274744,-6.958247,-6.922034
3.233046,-0.336098,-6.941038,-6.892404
3.266327,-0.313951,-6.881331,-6.966478
3.299459,-0.342832,-6.902730,-6.936699
3.332998,-0.347172,-6.830602,-6.988924
3.366340,-0.367224,-6.824766,-7.004637
3.399626,-0.321583,-6.818631,-7.094123
3.432994,-0.290008,-6.880134,-6.975606
3.466354,-0.222669,-6.924428,-6.925027
3.499627,-0.236735,-6.951364,-6.879086
3.533009,-0.272201,-6.909164,-6.874447
3.566353,-0.257236,-6.955703,-6.824916
3.599662,-0.235388,-6.966029,-6.931012
3.632989,-0.314849,-6.880732,-7.043694
3.666343,-0.383834,-6.897941,-7.045040
3.699642,-0.406430,-6.921585,-7.031423
3.733013,-0.381440,-6.853946,-7.071677
3.766343,-0.406131,-6.779723,-7.080955
3.799625,-0.406430,-6.789001,-7.022295
3.833021,-0.374556,-6.801721,-7.042047
3.866348,-0.360191,-6.867564,-6.961390
3.899643,-0.289409,-6.942086,-6.941936
3.933073,-0.237483,-6.965580,-7.024689
3.966349,-0.168648,-6.933257,-7.008378
3.999365,-0.214139,-6.922183,-6.913205
4.033062,-0.182115,-6.931461,-6.949568
4.066406,-0.229103,-6.919789,-6.931012
4.099798,-0.288961,-6.858884,-6.905274
4.133136,-0.257984,-6.838683,-6.929965
4.166302,-0.280132,-6.915300,-6.881181
4.199696,-0.240027,-6.872053,-6.949269
4.233021,-0.250502,-6.916796,-6.885671
4.266371,-0.181068,-6.975456,-6.911858
4.299671,-0.235538,-6.878338,-6.972164
4.332993,-0.272799,-6.892554,-6.888813
4.366371,-0.223267,-6.935502,-6.888214
4.399661,-0.233593,-6.967376,-6.858884
4.433061,-0.208602,-6.948970,-6.865618
4.466307,-0.246911,-6.926523,-6.986530
4.499671,-0.253794,-6.884623,-6.992216
4.532998,-0.258733,-6.852749,-7.105646
4.566384,-0.226859,-6.872203,-7.109237
4.599655,-0.200372,-6.872801,-7.024390
4.633006,-0.156676,-6.870257,-6.957948
4.666357,-0.135277,-6.899288,-6.911559
4.699625,-0.125999,-6.902281,-6.923081
4.733017,-0.114327,-6.898390,-7.000896
4.766421,-0.186006,-6.833894,-7.000746
4.799624,-0.182714,-6.778825,-7.088137
4.833061,-0.165056,-6.806809,-7.022743
4.866419,-0.156527,-6.889561,-7.027233
4.899738,-0.167450,-6.835241,-7.032171
4.933134,-0.143807,-6.900485,-6.961839
4.966348,-0.110885,-6.915449,-6.976504
4.999613,-0.197080,-6.799177,-7.084995
5.032524,-0.176728,-6.831649,-7.071826
5.066400,-0.192890,-6.817433,-7.073173
5.099712,-0.163560,-6.827310,-7.082002
5.132997,-0.195134,-6.787355,-7.011670
5.166349,-0.191244,-6.796932,-7.004188
5.199728,-0.227757,-6.825215,-6.994012
5.233013,-0.199624,-6.797830,-7.083798
5.266333,-0.230749,-6.773738,-7.096817
5.299707,-0.187503,-6.790198,-7.075717
5.332998,-0.231049,-6.770146,-7.059107
5.366370,-0.222818,-6.775683,-7.081104
5.399705,-0.200671,-6.810251,-7.145002
5.433035,-0.145603,-6.825514,-7.156375
5.466328,-0.198427,-6.802918,-7.103251
5.499692,-0.196182,-6.752039,-7.104897
5.532251,-0.189149,-6.710888,-7.084995
5.566332,-0.230151,-6.772690,-7.013017
5.599706,-0.191244,-6.714180,-7.100857
5.633019,-0.168648,-6.812645,-7.001494
5.666348,-0.093976,-6.882229,-7.078111
5.699644,-0.171341,-6.803068,-7.142308
5.733137,-0.189598,-6.792293,-7.164605
5.766341,-0.196481,-6.825065,-7.151287
5.799655,-0.196032,-6.797381,-7.188997
5.833034,-0.176429,-6.739769,-7.151736
5.866344,-0.245414,-6.723009,-7.031872
5.899342,-0.253944,-6.753835,-6.984435
5.933015,-0.205460,-6.781968,-7.011221
5.966338,-0.157424,-6.801871,-7.092327
5.999625,-0.135277,-6.854096,-7.101156
6.032060,-0.115973,-6.842274,-7.188997
6.066346,-0.176130,-6.843322,-7.067337
6.099653,-0.216084,-6.808305,-7.041000
6.132932,-0.188400,-6.823269,-7.041599
6.166306,-0.235538,-6.792443,-7.043394
6.199631,-0.201270,-6.798578,-7.041449
6.233089,-0.167600,-6.823269,-7.008378
6.266336,-0.192142,-6.871754,-7.037558
6.299657,-0.209500,-6.836288,-6.889561
6.333062,-0.153683,-6.912307,-6.961839
6.366349,-0.130040,-6.932958,-7.040701
6.399676,-0.226110,-6.816386,-7.026036
6.432976,-0.198427,-6.851851,-7.029028
6.466371,-0.177327,-6.887766,-6.981592
6.499625,-0.145752,-6.906471,-6.982789
6.532847,-0.186754,-6.893602,-6.932060
6.566373,-0.231049,-6.910062,-6.863673
6.599709,-0.200970,-6.906621,-6.939542
6.633042,-0.193638,-6.919041,-6.977252
6.666401,-0.160567,-6.916647,-7.050278
6.699667,-0.212044,-6.930264,-6.910511
6.733068,-0.191244,-6.919490,-6.961390
6.766373,-0.231049,-6.901233,-6.878488
6.799635,-0.208004,-6.872352,-6.935502
6.832985,-0.222669,-6.846165,-6.940590
6.866353,-0.244068,-6.842573,-6.846614
6.899707,-0.201270,-6.910960,-6.890010
6.933004,-0.166104,-6.910511,-6.932658
6.966328,-0.151738,-6.949867,-6.907518
6.999678,-0.190944,-6.936400,-6.976055
7.033003,-0.150840,-6.956901,-6.988775
7.066328,-0.225362,-6.906920,-6.979497
7.099636,-0.264120,-6.824766,-6.988026
7.133072,-0.219377,-6.903179,-7.007480
7.166331,-0.155928,-6.885072,-7.054468
7.199555,-0.174035,-6.860830,-7.013166
7.233028,-0.190047,-6.866516,-7.070929
7.266421,-0.212643,-6.891806,-6.856341
7.299632,-0.151439,-6.896894,-6.939093
7.333066,-0.172538,-6.859333,-6.974558
7.366480,-0.186754,-6.901383,-6.879535
7.399683,-0.177177,-6.812944,-7.116270
7.433056,-0.193937,-6.782866,-7.152035
7.466424,-0.211745,-6.772690,-7.107441
7.499641,-0.235837,-6.799027,-6.995808
7.533077,-0.208752,-6.844668,-7.058508
7.566400,-0.194536,-6.807557,-7.102952
7.599625,-0.105947,-6.764310,-7.170291
7.633069,-0.148895,-6.853198,-7.164755
7.666345,-0.169246,-6.772391,-7.075567
7.699648,-0.251251,-6.765058,-6.964832
7.733077,-0.179572,-6.798728,-7.025437
7.766354,-0.220574,-6.779424,-7.063895
7.799635,-0.233742,-6.780023,-7.132731
7.833007,-0.196631,-6.821025,-7.119114
7.866350,-0.185857,-6.822521,-7.108938
7.899646,-0.177776,-6.814441,-7.072575
7.932996,-0.246612,-6.756229,-7.114624
7.966414,-0.317842,-6.745605,-6.972314
7.999664,-0.344179,-6.699515,-7.015710
8.032931,-0.313352,-6.715676,-7.051475
8.066481,-0.208902,-6.780023,-7.223265
8.099675,-0.193488,-6.840179,-7.220871
8.133002,-0.178075,-6.815937,-7.106244
8.165845,-0.236436,-6.805013,-7.033368
8.199685,-0.236436,-6.752189,-7.039055
8.233021,-0.292702,-6.746952,-7.001494
8.266391,-0.254992,-6.719567,-7.074221
8.299727,-0.212044,-6.698617,-7.145750
8.332984,-0.206058,-6.821773,-7.223564
8.366295,-0.218778,-6.755780,-7.196329
8.399764,-0.264868,-6.752937,-7.205607
8.433013,-0.266065,-6.773588,-7.036511
8.466290,-0.277139,-6.663151,-7.152484
8.499735,-0.275044,-6.713432,-7.102503
8.533012,-0.246163,-6.727199,-7.115522
8.566296,-0.229852,-6.786308,-7.135574
8.599733,-0.194087,-6.767153,-7.175978
8.633012,-0.275642,-6.710139,-7.088437
8.666333,-0.266215,-6.712683,-7.071826
8.699730,-0.266664,-6.711337,-7.089784
8.733027,-0.269208,-6.721512,-7.137669
8.766368,-0.255740,-6.745006,-7.188548
8.799734,-0.250802,-6.728695,-7.243916
8.832303,-0.285818,-6.750693,-7.146797
8.866332,-0.228505,-6.802170,-7.177325
8.899733,-0.273996,-6.756529,-7.127045
8.933116,-0.298538,-6.716724,-7.072425
8.966304,-0.263222,-6.700263,-7.115073
8.999739,-0.221771,-6.688591,-7.069582
9.033023,-0.251400,-6.816386,-7.086940
9.066322,-0.288961,-6.733334,-7.087090
9.099742,-0.235987,-6.793939,-7.039204
9.133026,-0.178973,-6.852151,-7.101007
9.166296,-0.266514,-6.751740,-7.135724
9.199735,-0.256338,-6.739020,-7.185405
9.233026,-0.263521,-6.767004,-7.123304
9.266295,-0.236885,-6.771493,-7.083050
9.299668,-0.282975,-6.757427,-7.020798
9.332232,-0.252597,-6.785110,-7.033218
9.366303,-0.233144,-6.812346,-7.080356
9.399661,-0.237034,-6.772241,-7.100408
9.432967,-0.219975,-6.788253,-7.152634
9.466313,-0.208902,-6.799476,-7.089484
9.499665,-0.253495,-6.824616,-7.004188
9.533041,-0.232545,-6.791844,-7.034565
9.566304,-0.237932,-6.784512,-7.024689
9.599657,-0.230749,-6.787804,-7.070480
9.633076,-0.256189,-6.801571,-7.011820
9.666297,-0.160417,-6.822072,-7.083947
9.699736,-0.225512,-6.883127,-7.021247
9.733056,-0.240626,-6.778377,-7.000596
9.766330,-0.249904,-6.808156,-7.054917
9.799737,-0.232695,-6.861428,-7.040252
9.832756,-0.272350,-6.779125,-7.120909
9.866310,-0.304673,-6.749645,-7.114624
9.899740,-0.250353,-6.776730,-7.184358
9.932578,-0.250951,-6.779424,-7.076465
9.966121,-0.221920,-6.785260,-6.961988
9.999739,-0.216833,-6.798429,-6.953010
10.033022,-0.191393,-6.817882,-6.911110
10.066309,-0.183313,-6.840628,-7.011820
10.099747,-0.179123,-6.827609,-7.083199
10.133006,-0.209051,-6.809652,-7.090083
10.166300,-0.241224,-6.789151,-7.100558
10.199747,-0.261875,-6.789899,-7.110434
10.233010,-0.288063,-6.785859,-7.058957
10.265547,-0.246013,-6.792593,-7.095320
10.299758,-0.253495,-6.770445,-7.064494
10.333029,-0.241524,-6.803367,-7.010173
10.366299,-0.197828,-6.794089,-6.986829
10.399033,-0.226559,-6.819678,-7.049679
10.432423,-0.266364,-6.729294,-7.095021
10.466298,-0.254094,-6.728695,-7.141859
10.499736,-0.252897,-6.718669,-7.186004
10.532897,-0.323229,-6.683802,-7.108040
10.566129,-0.271303,-6.767602,-7.120311
10.599413,-0.221472,-6.811148,-7.101755
10.632987,-0.185258,-6.840179,-7.127194
10.666349,-0.180020,-6.744108,-7.184508
10.699674,-0.249006,-6.712534,-7.138417
10.733033,-0.246462,-6.734531,-7.088736
10.766290,-0.254842,-6.713731,-7.116270
10.799663,-0.269357,-6.728396,-7.056712
10.833016,-0.253046,-6.729443,-7.092327
10.866327,-0.247061,-6.715377,-7.144702
10.899741,-0.236436,-6.746652,-7.214586
10.932194,-0.265018,-6.804863,-7.054767
10.966298,-0.179272,-6.724206,-7.289407
