time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.021553,0.042218,0.168479,0.062287
0.051547,-0.051285,0.196605,0.032647
0.081541,-0.061241,0.182347,-0.046866
0.121533,-0.007073,0.204057,-0.055362
0.151526,0.006275,0.163027,-0.066175
0.181520,-0.005995,0.037880,-0.088367
0.221512,0.028366,-0.022417,-0.035064
0.251506,0.050842,-0.039539,-0.001543
0.281499,-0.010273,-0.077928,-0.008383
0.321491,-0.048252,-0.042603,-0.014801
0.351485,-0.010049,0.033583,-0.003145
0.381479,0.002014,0.054539,-0.020055
0.421470,0.009615,0.011928,-0.036559
0.451464,-0.013068,-0.009111,-0.040274
0.481458,-0.026023,-0.034134,-0.037497
0.521450,0.018582,-0.022339,-0.018191
0.551444,0.024190,-0.040252,-0.004286
0.581440,0.022021,-0.042163,0.004711
0.621432,-0.026273,-0.024853,0.013468
0.651426,-0.002467,0.007985,0.020643
0.681420,0.014728,0.041800,0.020046
0.721411,-0.013356,0.010639,-0.025310
0.751405,-0.005883,-0.020345,-0.055502
0.781399,0.019421,-0.049419,-0.073776
0.821391,0.004954,-0.076736,-0.075694
0.851385,0.032281,-0.043326,-0.043027
0.881378,-0.005175,-0.017425,-0.024845
0.921370,-0.007550,0.019161,-0.001271
0.951364,-0.016577,0.044370,-0.008520
0.981358,-0.017448,0.046963,-0.038361
1.021349,-0.002012,-0.009752,-0.055425
1.051343,-0.003163,-0.014035,-0.051047
1.081337,0.015287,0.030233,-0.021013
1.121329,0.007097,0.038156,0.017038
1.151322,0.009800,0.016345,0.018858
1.181316,0.007545,0.025227,0.006685
1.221308,0.001375,0.017707,-0.014359
1.251302,0.020062,0.002618,-0.014649
1.281296,0.009012,-0.005125,-0.000849
1.321287,0.026462,-0.014346,0.016345
1.351281,0.009848,-0.014492,0.022617
1.381275,0.009565,-0.000007,0.029521
1.421266,0.008699,0.020572,0.020051
1.451260,0.027836,0.035626,0.008682
1.481254,0.008892,-0.000390,0.002088
