time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.002907,0.254543,-5.460321,-8.226771
0.035153,0.165505,-5.388044,-8.069945
0.068451,0.155778,-5.384752,-7.955019
0.101810,0.226260,-5.391486,-7.928383
0.135148,0.297191,-5.396424,-8.039118
0.168462,0.441596,-5.456580,-8.311618
0.201839,0.302728,-5.449846,-8.242184
0.235178,0.243619,-5.391486,-8.155092
0.268480,0.262923,-5.364999,-8.233804
0.301837,0.219077,-5.354075,-8.157486
0.335170,0.189149,-5.225681,-8.274656
0.368484,0.188101,-5.104919,-8.299796
0.401838,0.281628,-4.896168,-8.446895
0.435158,0.301381,-4.825985,-8.604320
0.468480,0.329364,-4.903799,-8.587111
0.501841,0.845333,-5.668475,-8.313564
0.535153,1.213006,-6.485076,-7.992280
0.568478,1.771623,-6.217216,-8.081018
0.601842,1.857368,-5.220294,-7.894713
0.635229,1.940270,-5.539333,-6.867414
0.668619,1.937876,-6.486722,-7.010473
0.701843,1.478323,-7.145600,-7.457606
0.735153,1.248920,-6.945528,-7.205009
0.768516,1.105861,-6.609729,-6.887616
0.801857,1.238595,-6.321517,-6.995060
0.835171,0.853713,-6.486124,-6.564238
0.868588,0.239129,-6.477744,-6.002328
0.901833,-0.277139,-6.256422,-6.231731
0.935181,-0.067639,-6.200156,-6.901084
0.968548,0.473770,-6.064879,-7.775298
1.001853,1.057676,-6.095257,-7.872566
1.035183,1.142225,-6.736327,-8.081168
1.068595,1.173949,-7.705864,-6.945827
1.101844,0.971482,-6.934753,-9.805354
1.135223,0.566548,-6.281562,-9.681749
1.168548,1.218692,-6.254776,-9.833337
1.201846,1.278699,-5.778911,-9.539289
1.235207,1.058425,-5.643036,-8.944758
1.268573,0.521206,-5.439671,-8.314611
1.301833,-0.150092,-5.003611,-8.266725
1.335218,-0.155479,-5.199045,-8.436420
1.368549,0.465689,-5.234959,-8.287675
1.401850,0.261426,-5.158791,-6.930414
1.435216,0.177177,-5.077984,-6.657016
1.468547,0.364680,-5.500575,-6.782716
1.501869,0.280431,-6.567081,-6.465174
1.535226,0.259481,-6.550321,-6.605539
1.568565,0.250353,-6.168881,-6.987128
1.601850,0.367224,-6.480737,-6.756678
1.635185,0.768865,-6.727498,-6.769847
1.668488,1.033883,-6.727947,-6.663002
1.701851,1.596391,-7.126296,-7.068385
1.735163,1.763243,-7.682370,-7.111033
1.768594,1.158985,-8.478470,-7.437703
1.801861,1.903159,-7.465986,-8.028793
1.835228,2.485420,-5.929003,-9.920878
