time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.004181,0.062812,-0.056085,0.024209
0.035807,0.320961,0.177069,0.006213
0.065798,0.179188,-0.009486,-0.142833
0.095789,0.198107,0.017597,-0.208213
0.135778,0.303253,0.228853,-0.152925
0.165769,0.104427,0.183677,-0.113775
0.195760,0.068562,0.111129,-0.090800
0.235748,0.180744,0.050603,-0.105977
0.265739,0.262893,-0.038944,-0.095105
0.295730,0.187116,-0.184193,-0.018346
0.335718,0.059194,-0.344082,0.173089
0.365709,0.075988,-0.379123,0.275008
0.395700,0.190958,-0.362662,0.270316
0.435689,0.233749,-0.212305,0.110534
0.465680,0.224816,0.084254,-0.026429
0.495675,0.296625,0.617464,-0.084486
0.535663,0.510188,0.285167,-0.020937
0.565654,0.338449,-0.372627,0.030333
0.595645,-0.075169,-0.583083,0.131222
0.635633,-0.491345,0.177306,0.240806
0.665624,-0.594482,0.377041,0.048025
0.695615,-0.168051,0.277832,-0.203720
0.735604,-0.089708,-0.541725,-0.331749
0.765595,-0.368135,-0.840001,-0.333146
0.795586,-0.300262,-0.154279,-0.314820
0.835574,-0.344688,0.727826,-0.188982
0.865565,-0.176994,0.698858,-0.180101
0.895556,-0.075362,0.271838,-0.166964
0.935544,0.015285,-0.399139,-0.149917
0.965535,0.115011,-0.553865,-0.091002
0.995527,0.117529,-0.363462,-0.106612
1.035515,0.104584,0.328099,-0.140761
1.065506,0.049567,0.512786,-0.047614
1.095497,0.139758,0.452676,0.004641
1.135485,0.207700,0.369323,0.150592
1.165476,0.366726,0.401448,0.248672
1.195467,0.166884,0.508386,0.251912
1.235455,0.172956,-0.073207,0.442187
1.265446,0.225013,-0.698381,0.474084
1.295438,0.116756,-0.794270,0.576497
1.335426,-0.112881,-0.288148,0.609932
1.365417,-0.239996,0.306109,0.507357
1.395408,0.148353,0.466920,0.407867
1.435396,0.545444,0.044213,0.313202
1.465387,0.229797,-0.016169,0.323514
1.495374,0.262502,0.231248,0.349515
1.535362,0.514692,0.288293,0.406042
1.565353,0.366330,-0.014868,0.358987
1.605341,0.306929,-0.009609,0.255386
1.635333,0.320992,0.193581,0.182851
1.665324,0.221533,0.151074,0.163084
1.705312,-0.204063,0.033491,0.057701
1.735303,-0.055556,0.413368,-0.154522
1.765294,0.638465,0.601339,-0.035648
1.805282,0.297141,-1.116215,-0.186611
1.835273,-0.619335,-1.438510,-0.737109
1.865264,-1.064299,-0.004075,-0.772539
1.905252,-0.028798,1.511488,-0.181177
1.935243,-0.023238,0.940993,-0.059125
1.965235,-0.234759,-0.370731,-0.271561
2.005223,-0.312023,-0.820165,-0.279632
2.035214,-0.167662,-0.268632,-0.008887
2.065205,0.033227,0.125969,0.158416
2.105193,0.109244,-0.046839,0.146802
2.135184,0.140931,-0.181967,0.212502
2.165175,0.122415,-0.044385,0.255032
2.205163,0.351563,0.314748,0.301207
2.235154,0.355539,0.405857,0.371818
2.265145,0.089262,0.379912,0.468511
2.305133,0.302337,0.217755,0.752574
2.335125,1.001219,-0.499449,0.872816
2.365116,0.260013,-0.989802,0.718043
2.405104,-0.673394,0.423763,0.512252
2.435095,0.405661,1.283728,0.370466
2.465086,0.969344,0.920464,0.186597
2.505073,0.242838,-0.122387,0.035788
2.535064,0.015970,-0.170957,0.205432
2.565055,0.259071,0.157037,0.302746
2.605043,0.395582,0.339324,0.262701
2.635034,0.259409,0.205422,0.311224
2.665025,0.169114,0.047001,0.326368
2.705013,0.213325,0.041738,0.183288
2.735005,-0.074437,0.057393,0.070532
2.764996,-0.304212,0.180477,-0.108783
2.804984,0.371823,0.187803,-0.156354
2.834975,0.427322,-0.285865,-0.345564
2.864966,-0.272973,-0.876926,-0.557183
2.904954,-0.650127,-0.012119,-0.733518
2.934945,-0.069753,0.684575,-0.840567
2.964936,-0.042277,0.610871,-0.995095
3.004924,-0.450268,-0.255566,-0.895338
3.034915,-0.732023,-0.527935,-0.661168
3.064906,-0.820889,-0.298948,-0.413621
3.104895,-0.507206,0.102498,-0.153436
3.134886,-0.395458,0.301032,0.012567
3.164877,-0.325175,0.419675,0.142051
3.204865,-0.047915,0.277359,0.281515
3.234856,0.394694,-0.167634,0.388530
3.264847,0.165533,-0.364311,0.284561
3.304835,-0.156638,0.248330,0.065714
3.334826,0.558751,0.426969,0.099164
3.364817,0.800454,-0.236328,0.353099
3.404805,-0.506250,-0.301023,0.223038
3.434796,-0.099089,0.519001,0.126782
3.464787,0.932719,0.870464,0.132890
3.504776,0.788914,0.141838,0.155092
3.534768,0.131359,-0.535227,0.008613
3.564759,-0.163986,-0.543051,-0.093309
3.604747,0.293986,-0.038201,-0.124428
3.634738,0.250178,0.207097,-0.085709
3.664729,-0.058493,0.186856,0.010620
3.704717,-0.164484,0.062005,0.048103
3.734708,-0.111626,0.091900,-0.157861
3.764699,-0.357775,0.340108,-0.363800
3.804687,-0.364626,0.633981,-0.538637
3.834678,0.277278,0.524780,-0.383353
3.864669,0.152065,-0.261900,-0.277735
3.904657,-1.133005,-0.781052,-0.559895
3.934648,-0.551643,0.081342,-0.570124
3.964639,0.163239,0.759069,-0.356502
4.004628,0.026548,0.137582,-0.284478
4.037120,-0.232192,-0.750838,-0.395458
4.077108,-0.516655,-0.516901,-0.332234
4.107099,-0.327041,0.058740,-0.166724
4.137090,-0.120847,0.257586,-0.035351
4.177078,-0.219986,0.174426,0.121847
4.207069,-0.240404,0.347335,0.239461
4.237060,0.051096,0.493562,0.349854
4.277048,0.165657,0.054787,0.284400
4.307039,0.215946,-0.088957,0.119069
4.337030,0.081451,0.224631,-0.012800
4.377018,0.686077,0.348543,0.029815
4.407010,1.053392,-0.541589,0.317482
4.437001,-0.370354,-0.811019,0.333708
4.476989,-0.375565,0.559323,0.485623
4.506980,0.534467,0.923199,0.575772
4.536970,0.550871,0.202307,0.374738
4.566961,0.112370,-0.535207,0.122658
4.606949,0.166121,-0.511912,0.246620
4.636940,0.285299,-0.147812,0.360513
4.666931,0.418183,-0.020617,0.286142
4.706919,0.214292,-0.059457,0.172831
4.736910,0.057535,-0.061311,0.139603
4.766901,0.219104,-0.085263,0.030275
4.806889,-0.157399,0.107106,-0.223637
4.836880,-0.584749,0.506686,-0.457854
4.866871,-0.033069,0.965530,-0.428145
4.906859,0.318678,0.538382,0.132632
4.936850,0.212236,-0.192680,0.232296
4.966842,-0.986381,0.177819,-0.137959
5.006830,-0.854128,0.810094,-0.380404
5.036821,-0.390758,0.660659,-0.450180
5.066812,-0.405428,-0.071433,-0.743109
5.106800,-0.671639,-0.703132,-1.042025
5.136791,-0.624704,-0.635812,-0.898043
5.166782,-0.503772,-0.330910,-0.570276
5.206770,-0.564221,-0.236199,-0.257188
5.236761,-0.595126,-0.219662,-0.127660
5.266752,-0.489524,-0.085911,-0.044820
5.306740,-0.430232,-0.034010,-0.050694
5.336731,-0.321770,0.059874,-0.151874
5.366722,-0.191517,0.306104,-0.300659
5.406710,0.003490,0.503028,-0.199886
5.436701,0.237339,0.116267,0.087582
5.466692,0.656688,-0.863930,0.211867
5.506680,-0.494307,-0.700888,0.107245
5.536672,-0.328551,0.435430,0.335288
5.566663,0.345285,0.859005,0.349698
5.606651,0.602147,-0.127224,0.066833
5.636642,0.062526,-0.718352,-0.135368
5.666633,0.039690,-0.406523,-0.137167
5.706621,0.250683,0.207196,0.133379
5.736612,0.323118,0.090494,0.111156
5.766603,0.099868,-0.140124,0.138724
5.806591,-0.192992,0.062084,0.262638
5.836582,-0.112061,0.272559,0.241466
5.866573,-0.058481,0.268012,0.158194
5.906561,-0.126656,0.156324,0.084708
5.936552,-0.226017,0.228600,-0.057291
5.966543,-0.375301,0.606158,-0.213571
6.006531,0.352368,0.603688,-0.208162
6.036522,0.297725,-0.421021,-0.430777
6.066513,-0.642073,-0.792194,-0.850753
6.106501,-0.309958,0.696642,-0.742287
6.136492,0.355251,1.164325,-0.403322
6.166483,0.385404,0.312608,-0.312869
6.206472,-0.196947,-1.145772,-0.476629
6.236463,-0.588698,-1.048286,-0.374881
6.266454,-0.599438,-0.280887,-0.040064
6.306442,-0.123607,0.267047,0.136788
6.336433,-0.125568,0.070594,0.106555
6.366424,-0.177095,-0.164079,0.104651
6.406412,-0.082821,-0.034438,0.054297
6.436403,0.000381,0.201466,0.041318
6.466394,0.148736,0.368338,0.069485
6.506382,0.298575,0.387934,0.079177
6.536373,0.215051,0.364545,0.152722
6.566364,0.172302,0.126620,0.360068
6.606352,0.888560,-0.663303,0.497224
6.636343,0.753964,-1.141496,0.422649
6.666334,-0.527022,-0.354823,0.447977
6.706322,-0.000752,1.108642,0.747101
6.736313,0.875941,0.845541,0.717977
6.766304,0.576307,-0.283795,0.406332
6.806292,-0.152213,-0.767136,0.213927
6.836283,0.169138,-0.172089,0.299012
6.866274,0.482903,0.132745,0.293743
6.906262,0.418017,0.007245,0.245127
6.936253,0.210086,-0.010622,0.277468
6.966245,0.110525,0.110090,0.233646
7.006233,0.264022,0.096217,0.136821
7.036224,0.023271,0.134145,0.071234
7.066215,-0.180411,0.338893,-0.041612
7.106203,0.271662,0.588779,-0.056342
7.136194,0.425081,0.249594,-0.000513
7.166185,-0.098334,-0.485431,-0.182292
7.206173,-0.752576,-0.080393,-0.396005
7.236164,-0.133467,0.780799,-0.309869
7.266155,0.272547,0.801592,-0.212697
7.306143,0.264347,-0.368805,-0.258961
7.336134,-0.158832,-0.956246,-0.277147
7.366125,-0.198505,-0.692649,-0.131547
7.406113,0.151647,0.086619,0.195350
7.436104,0.183146,0.114492,0.324964
7.466095,0.189142,-0.166692,0.432912
7.506083,0.300047,-0.332339,0.480877
7.536074,0.404753,-0.144173,0.428135
7.566065,0.618924,0.182146,0.417721
7.606053,0.836436,0.378471,0.428952
7.636044,0.866519,0.283150,0.534406
7.666035,0.706413,0.148498,0.809977
7.706023,0.838501,-0.479635,1.161942
7.736014,1.083221,-1.053095,1.152195
7.766005,0.488855,-0.816603,1.183859
7.805993,0.268155,0.486150,1.119794
7.835984,1.052695,0.810730,0.985494
7.865976,1.396986,0.091966,0.802729
7.905964,0.803391,-0.868579,0.696592
7.935955,0.602810,-0.530287,0.782866
7.965946,0.791544,0.237899,0.782546
8.005934,1.019449,0.248585,0.730768
8.037175,0.826537,-0.219909,0.732819
8.077163,0.734644,-0.278925,0.775979
8.107154,0.760357,-0.060680,0.776458
8.137146,0.712965,-0.014630,0.733779
8.177134,0.367394,0.006045,0.655500
8.207125,0.367690,0.281144,0.480486
8.237116,0.667229,0.665827,0.373720
8.277104,0.954720,0.391082,0.407578
8.307095,0.670189,-0.287143,0.221109
8.337086,0.343324,-0.081422,0.167551
8.377074,0.734654,0.809734,0.552433
8.407065,1.163782,0.575877,0.731522
8.437056,1.070118,-0.430334,0.647557
8.477044,0.409207,-0.927553,0.668419
8.507034,0.521092,-0.308934,0.745906
8.537023,0.995665,0.316184,0.665376
8.567013,1.109393,0.329760,0.609909
8.597004,1.023733,-0.048211,0.667332
8.636992,0.793980,-0.196596,0.709007
8.666983,0.799121,0.123263,0.720416
8.696974,0.957552,0.403751,0.767052
8.736962,1.044668,0.224631,0.753647
8.766953,0.990816,0.055175,0.735861
8.796944,0.989393,0.164311,0.738462
8.836932,1.141618,0.307491,0.739466
8.866923,1.170473,0.281240,0.778550
8.896914,1.084744,0.149126,0.932813
8.936902,1.153017,-0.252255,1.097510
8.966894,1.326609,-0.610332,1.099757
8.996885,0.902765,-0.455574,1.141178
9.036873,0.713885,0.459208,1.256496
9.066864,1.510358,0.446198,1.217094
9.096855,1.654953,-0.275427,1.062706
9.136843,0.928492,-0.626833,1.065943
9.166834,0.954501,-0.082328,1.161439
9.196825,1.335055,0.262331,1.127790
9.236813,1.164501,-0.070561,1.022190
9.266804,0.953076,-0.245588,1.017203
9.296795,0.799299,-0.046804,0.992404
9.336783,0.901697,0.106045,0.804202
9.366774,0.742379,0.051760,0.654600
9.396765,0.466397,0.242197,0.499337
9.436753,1.061630,0.539436,0.584172
9.466744,0.968664,-0.037954,0.578190
9.496735,0.437822,-0.847147,0.380796
9.536723,0.088003,0.085916,0.140819
9.566714,0.399623,0.876181,0.363759
9.596705,0.800727,0.554253,0.439406
9.636693,0.850406,-0.646016,0.467432
9.666684,0.465829,-0.812156,0.513687
9.696675,0.443242,-0.209328,0.589808
9.736663,0.793326,0.317201,0.677916
9.766654,0.894829,0.054137,0.685923
9.796645,0.849484,-0.419651,0.661948
9.836633,0.854300,-0.473618,0.589336
9.866624,0.899640,-0.058681,0.582226
9.896615,1.033433,0.408918,0.755002
9.936603,1.029353,0.423602,0.900784
9.966594,0.878863,0.217114,0.928044
9.996585,0.847340,0.188705,0.936720
10.036573,1.013618,0.333045,0.980278
10.066564,1.341901,0.015721,1.016989
10.096555,1.692616,-0.727891,0.917872
10.136543,0.625355,-0.723033,0.943670
10.166534,0.078056,0.274999,1.106635
10.196525,0.741537,0.672425,1.096567
10.236513,1.392272,-0.045662,0.745937
10.266504,0.919622,-0.592073,0.643594
10.296495,0.395130,-0.566966,0.763005
10.336483,0.674685,-0.189911,0.750458
10.366474,0.633405,-0.054196,0.672522
10.396465,0.427528,0.045793,0.671553
10.436453,0.287216,0.070104,0.528611
10.466444,0.500175,0.075384,0.285598
10.496436,0.479481,0.184223,0.090029
10.536424,-0.203510,0.530730,-0.286948
10.566415,0.518935,0.751171,-0.282058
10.596406,0.589479,0.409160,-0.260542
10.636394,0.012069,-0.564240,-0.489961
10.666385,-0.547404,-0.016433,-0.675390
10.696376,-0.232892,1.052621,-0.495852
10.736364,0.346843,0.939630,-0.146090
10.766355,-0.018687,-0.053875,-0.195264
10.796346,-0.417014,-0.745782,-0.219306
10.836334,-0.413500,-0.654016,-0.038372
10.866325,-0.359291,-0.357404,0.147748
10.896316,-0.271188,-0.197721,0.255302
10.936304,-0.270258,-0.112196,0.256553
10.966295,-0.200131,-0.120512,0.273124
10.996286,-0.174598,-0.203524,0.180125
11.036274,-0.227407,-0.060491,0.003042
11.066265,-0.076831,0.227291,-0.122431
11.096256,0.091843,0.363813,-0.232187
11.136244,0.143463,0.188257,-0.318474
11.166235,0.112203,0.028183,-0.238812
11.196226,0.103888,-0.013681,-0.073764
11.236214,0.183899,0.007043,0.116621
11.266205,0.103856,-0.096270,0.240617
11.296196,-0.124146,-0.255325,0.316129
11.336184,-0.016894,-0.233770,0.342216
11.366175,-0.195937,-0.106122,0.470572
11.396166,-0.132357,0.036422,0.487997
11.436154,-0.031288,0.105630,0.330520
11.466145,0.026987,-0.060443,0.244184
11.496136,0.215128,-0.299769,0.200268
11.536124,0.182522,-0.393887,0.295600
11.566115,0.141398,-0.309407,0.272563
11.596106,0.256221,-0.253668,0.160123
11.636094,0.457099,-0.271710,0.048125
11.666085,0.482395,-0.199963,0.087170
11.696076,0.325722,-0.045570,0.122449
11.736064,0.070540,0.180244,0.234958
11.766055,0.102336,0.167567,0.238635
11.796046,0.156371,0.065450,0.103778
11.836034,0.154104,-0.044485,0.030169
11.866025,0.220371,-0.139366,-0.005565
11.896016,-0.130536,0.025547,-0.096535
11.936004,-0.528449,0.692553,-0.132387
11.965995,0.055815,0.735407,0.100978
11.995986,0.647585,-0.414997,-0.059053
12.038476,-0.539314,-0.969548,-0.669372
12.078464,-0.310221,0.955882,-0.269022
12.108455,0.611530,1.244779,-0.028913
12.138446,0.489383,0.126205,-0.041621
12.178434,-0.312997,-0.891878,-0.106433
12.208425,-0.423431,-0.223584,-0.001650
12.238416,-0.078017,0.699498,0.098112
12.278404,0.370741,0.649847,0.093529
12.308395,0.176340,-0.048133,-0.050099
12.338386,-0.088344,-0.361183,-0.175185
12.378374,0.185717,0.137069,-0.005430
12.408365,0.147669,0.306718,0.109165
12.438356,0.091018,0.175805,0.129882
12.478344,0.372240,0.130022,0.276128
12.508335,0.498259,0.171719,0.354236
12.528329,0.615849,0.196411,0.385879
12.568315,0.713189,0.243183,0.659071
12.598306,0.574749,-0.273944,0.936237
12.628297,1.395399,-1.280764,0.779378
12.668285,-0.120027,-1.223649,0.627607
12.698276,-0.080067,0.297512,0.904308
12.728267,1.347406,1.091155,0.947605
12.768255,1.399198,-0.023377,0.676248
12.798246,0.281724,-0.792349,0.651534
12.828237,0.121660,-0.329591,0.777429
12.868225,0.445743,0.692012,0.702978
12.898216,0.293064,0.610348,0.366342
12.938204,0.476421,-0.080291,0.029789
12.968195,0.489187,-0.654317,0.174667
12.998186,0.261928,-0.753808,0.366737
13.038174,-0.069408,-0.154298,0.412273
13.068165,-0.072381,0.448731,0.332147
13.098156,-0.225720,0.683291,0.274931
13.128147,0.025882,0.516271,0.179082
13.168135,0.119082,-0.064945,-0.135922
13.198126,-0.435144,-0.085706,-0.368360
13.238114,0.338960,0.340899,-0.143482
13.268105,0.952822,-0.600437,-0.138396
13.298096,-0.377511,-1.534839,-0.788093
13.328087,-0.959116,-0.196476,-1.295808
13.368075,0.099880,2.221717,-0.790785
13.398066,0.513762,1.750085,-0.487793
13.428057,-0.441556,-0.003775,-0.469854
13.468045,-1.214764,-0.723828,-0.327801
13.498036,-0.657793,0.051189,-0.135641
13.538024,-0.232914,0.594529,-0.072060
13.568015,-0.538008,0.256597,-0.080117
13.598006,-0.684816,-0.121060,-0.177727
13.627997,-0.345332,-0.154083,-0.224476
13.667985,-0.193515,-0.033708,-0.085919
13.697976,-0.087196,0.077404,0.013249
13.737964,0.290132,0.136128,-0.132355
13.767955,0.119149,0.246868,-0.225829
13.797946,-0.190102,0.241483,-0.067302
