time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.023367,0.782184,-4.276646,-7.978663
0.056654,-0.687460,-4.112487,-9.377226
0.089933,-0.799393,-3.483538,-10.554467
0.123321,0.268310,-3.815147,-9.946467
0.156674,-1.091496,-4.154238,-7.936763
0.189912,-1.048548,-4.373914,-8.219887
0.223254,-0.117021,-4.093184,-9.212618
0.256646,-0.252747,-3.800482,-8.950594
0.290007,-0.411219,-4.121915,-8.370578
0.322905,-0.359442,-4.194492,-9.009403
0.355848,-0.221920,-3.916754,-9.662295
0.389917,-0.277288,-3.896104,-9.210224
0.423305,-0.169695,-4.100516,-8.719395
0.456586,-0.017658,-4.049039,-8.772518
0.489916,-0.217431,-3.863033,-8.800651
0.523255,-0.306618,-4.086150,-8.887295
0.556575,0.018406,-4.033626,-9.208428
0.590168,-0.019603,-4.015818,-9.024517
0.622982,-0.353008,-3.942643,-9.057289
0.656273,-0.189448,-4.137627,-8.900014
0.689909,-0.141413,-4.083157,-8.823547
0.723250,-0.368720,-4.024048,-8.890287
0.756582,-0.327419,-4.086899,-8.944309
0.789903,0.094874,-4.026742,-8.988304
0.823247,0.077216,-3.854353,-8.720892
0.856585,-0.083800,-3.886676,-8.677645
0.889913,0.616379,-3.997562,-8.727326
0.923270,0.494720,-3.808114,-8.559277
0.956585,0.350314,-4.064302,-8.883404
0.990016,0.584505,-3.905531,-9.343107
1.023322,-0.232545,-3.697079,-9.879427
1.056585,-0.047437,-3.717131,-9.853988
1.089979,-0.346573,-3.427123,-9.489607
1.123249,-0.076168,-4.033476,-8.348131
1.156604,0.102206,-3.497605,-7.465687
1.189919,-0.915665,-3.715185,-8.807535
1.223277,-1.414275,-5.182435,-9.848002
1.256578,0.310509,-4.103659,-9.284297
1.289936,1.552396,-3.192932,-7.792058
1.323268,0.511480,-3.722967,-7.772155
1.356667,-0.485442,-3.005579,-9.080633
1.389918,-0.995126,-3.789558,-10.155369
1.423263,0.392663,-3.298729,-9.897235
1.456594,0.346573,-3.230492,-10.209390
1.489943,-0.007333,-3.618366,-9.056690
1.523254,-0.129890,-3.240668,-9.151115
1.556651,-0.015114,-3.381631,-9.386354
1.589933,0.080508,-3.539654,-9.289535
1.623308,0.141712,-3.613279,-8.931439
1.656583,0.078862,-3.521398,-9.288038
1.689918,0.136325,-3.513018,-9.361962
1.723250,-0.089187,-3.514814,-9.125526
1.756586,-0.035615,-3.726858,-8.938472
1.789395,0.047586,-3.529329,-8.837763
1.823252,-0.013318,-3.558210,-9.201395
1.856654,-0.066591,-3.709499,-9.190920
1.889957,0.199474,-3.685406,-9.209925
1.923080,0.094874,-3.730898,-8.944159
1.956095,0.088589,-3.843579,-8.949247
1.989016,0.160417,-3.851061,-9.309288
2.023260,0.052824,-3.831907,-9.311981
2.056590,-0.012121,-3.979605,-8.901211
2.089915,0.175830,-3.828764,-8.712212
2.123260,-0.067788,-4.121167,-8.619733
2.156596,0.162063,-4.116677,-8.563467
2.189915,0.125251,-3.966137,-9.009553
2.223284,0.081106,-4.282332,-9.042025
2.256591,0.986895,-4.087048,-8.695153
2.289979,0.008829,-4.572789,-8.165567
2.322942,-0.270255,-4.636387,-8.236348
2.356581,-0.287464,-4.831073,-8.685127
2.389918,-0.140365,-4.577727,-9.163535
2.423265,-0.244517,-4.315852,-9.090360
2.456623,-0.204412,-4.275748,-8.856169
2.489968,-0.347621,-4.560070,-8.126061
2.523269,-0.734148,-4.628157,-8.215697
2.556583,-1.077579,-4.461754,-8.707424
2.589934,-0.635384,-4.337251,-8.969149
2.623247,-0.346124,-4.654943,-8.398860
2.656617,-0.427829,-5.070951,-8.337806
2.689921,-0.612040,-4.938367,-8.431781
2.723352,-0.665761,-4.875666,-8.315210
2.756601,-0.370217,-4.918913,-8.018168
2.789911,-0.609795,-5.258453,-7.543950
2.823266,-0.594681,-5.083969,-7.848024
2.856639,-0.726068,-4.876864,-8.562569
2.889913,-0.794155,-5.059278,-8.986059
2.922723,-1.286780,-5.343001,-9.014341
2.956579,-1.012634,-5.197100,-9.117894
2.989922,-0.889478,-4.989994,-9.387551
3.023250,-0.473470,-5.044913,-9.663792
3.056582,-0.134080,-4.743981,-10.809907
3.089914,-0.334602,-4.168155,-12.902065
3.122346,-0.262474,-3.665803,-11.598526
3.155700,0.339390,-3.849116,-9.663193
3.189084,0.384283,-3.828016,-8.318502
3.222431,0.898606,-3.485334,-8.002755
3.256575,0.892022,-3.188742,-8.717749
3.289929,0.133033,-3.069925,-9.466712
3.323246,0.192291,-2.967120,-9.200348
3.356601,0.657381,-2.984928,-8.035527
3.389925,0.632391,-3.399588,-6.869359
3.423235,0.160268,-4.390225,-6.591323
3.456581,0.104301,-4.281285,-7.360039
3.489977,0.148895,-4.136580,-8.583819
3.523319,-0.318440,-4.361493,-8.454527
3.556338,-0.170443,-4.644917,-7.845780
3.589281,0.249006,-4.830923,-7.812260
3.623269,-0.125251,-4.992238,-8.496727
3.656599,-0.275493,-5.056585,-9.216359
3.689921,0.303177,-5.086962,-9.728438
3.723252,-0.300483,-5.455533,-10.110027
3.756584,-0.611740,-5.258902,-10.220164
3.789977,-0.743875,-5.024262,-11.024645
3.823655,-1.098529,-3.860489,-11.946445
3.856619,-1.259844,-3.348111,-10.463783
3.889923,-0.703023,-3.493115,-9.016137
3.923322,-0.833960,-3.319529,-7.835604
3.956629,-0.980910,-3.348411,-7.807770
3.989692,-0.767818,-3.390161,-7.528088
4.023249,-0.098166,-3.586792,-6.707745
4.056129,-0.222519,-3.671490,-6.714479
4.089927,-0.630296,-3.768159,-7.342381
4.123260,-0.453717,-3.643806,-7.649598
4.156609,-0.352409,-3.746910,-7.699728
4.189921,-0.598871,-3.853007,-8.034928
4.223301,-0.539313,-3.957906,-8.341098
4.256603,-0.773055,-4.212449,-8.322991
4.289938,-1.478173,-4.197185,-9.007608
4.323246,-1.384048,-4.060112,-10.113020
4.356583,-0.771260,-3.180362,-11.668409
4.389965,0.314400,-1.780601,-10.887572
4.423264,0.700030,-1.547458,-8.946553
4.456599,-0.045043,-1.548655,-9.079735
4.489962,-0.260977,-1.833425,-9.623089
4.523307,0.558617,-1.747231,-9.809095
4.556605,1.095087,-1.618388,-9.655113
4.589925,-0.314549,-1.630809,-9.084973
4.623309,-1.434777,-1.448693,-8.624821
4.656587,0.076318,-0.694044,-8.973190
4.689986,0.037111,-0.157275,-9.547370
4.723269,-0.448330,-0.328616,-10.254582
4.756642,-0.477660,-0.739087,-10.895204
4.789941,-0.480204,-0.995275,-10.681514
4.823082,-0.495617,-1.079375,-10.751995
4.856560,-0.616828,-0.831865,-11.120416
4.889765,-0.522254,-0.899803,-11.194340
4.923293,-0.377400,-1.006648,-11.077020
4.955744,-0.163410,-0.526294,-11.939113
4.989709,-1.198191,-0.276391,-12.946210
5.023067,-1.134144,0.261576,-12.701244
5.056357,-0.176429,0.359891,-10.822328
5.089771,-0.116123,0.478409,-9.620096
5.123075,-0.798944,0.476762,-8.942214
5.156379,-0.710355,-0.253645,-8.491938
5.189743,-0.563256,-0.644213,-7.974473
5.222993,-0.552781,-1.215550,-7.684315
5.255978,-0.306918,-1.523964,-7.250650
5.289919,-0.306169,-1.677348,-8.097928
5.323251,-0.731006,-1.601479,-8.536681
5.356653,-0.819445,-1.716105,-9.019280
5.389918,-0.423340,-2.070161,-9.300459
5.423255,-0.559814,-2.191970,-9.543479
5.456576,-0.729509,-2.178203,-10.552821
5.489918,-1.114541,-2.190324,-11.974279
5.522338,-0.586151,-1.955085,-11.864740
5.555683,-0.038159,-2.364957,-11.773308
5.589941,-0.296143,-1.872931,-12.839664
5.623265,0.358245,-1.200286,-11.311211
5.656641,1.088204,-0.964598,-9.689082
5.689929,0.356449,-1.268523,-8.928446
5.723270,-0.545598,-1.237398,-8.747079
5.756600,-0.159968,-1.151802,-8.363694
5.789934,0.751806,-1.097781,-7.819143
5.822600,0.327269,-1.153747,-7.198724
5.856614,0.085446,-1.576788,-6.907369
5.889909,-0.095921,-2.092308,-7.939307
5.923322,-0.485591,-2.215015,-8.818160
5.956575,-0.532430,-2.373487,-8.999826
5.989914,-0.142759,-2.534353,-9.318865
6.023273,-0.959511,-2.419128,-10.313691
6.056639,-1.095237,-2.021826,-12.019920
6.089904,-0.404036,-2.032002,-12.494737
6.123225,-0.918808,-2.528966,-12.567164
6.156551,-2.093954,-2.248834,-13.361319
6.189998,-2.087220,-1.562272,-12.549806
6.223268,-0.778892,-1.172153,-10.682711
6.256660,-1.354568,-1.347834,-9.407902
6.289941,-1.955833,-1.388687,-8.736455
6.323255,-1.518577,-1.631557,-8.053185
6.356595,-0.798046,-1.763692,-7.448178
6.389914,-0.352409,-2.149621,-6.690985
6.423255,-0.013618,-2.694770,-6.513060
6.456622,-0.140066,-2.842468,-6.747999
6.489916,-0.465090,-3.031168,-7.761231
6.523325,-0.431870,-3.139808,-8.946553
6.556593,-0.188999,-3.279425,-9.288038
6.589987,-0.184061,-3.280772,-9.984926
6.623250,-0.216982,-3.146542,-11.019856
6.656600,-0.003143,-3.240668,-10.574668
6.689976,0.577173,-3.629141,-10.511070
6.723318,0.578370,-3.388515,-11.068640
6.756670,0.460152,-2.897686,-11.495272
6.789993,0.612040,-2.317221,-10.682262
6.823056,0.777844,-2.140942,-10.341225
6.855936,0.028881,-2.301209,-10.035056
6.889921,-0.259930,-2.211274,-9.113555
6.923304,0.279234,-2.471503,-7.635531
6.956604,0.174184,-2.567873,-6.572618
6.989938,0.313951,-2.778870,-6.234873
7.023289,0.788618,-2.811941,-6.249688
7.056595,0.414361,-2.823613,-7.634185
7.089941,0.133182,-2.815682,-8.509446
7.123322,-0.229103,-3.066034,-9.027809
7.156575,-0.532879,-3.452861,-9.404910
7.189965,-0.396554,-3.598165,-9.828100
7.222348,-0.057313,-3.692739,-10.764116
7.256575,-0.427829,-3.652485,-11.118621
7.289606,-1.228120,-3.881888,-11.661376
7.323253,-1.651759,-3.129184,-12.986763
7.355874,-0.943948,-2.069113,-11.920557
7.389091,0.120762,-1.830582,-10.263262
7.423253,-0.119714,-2.089913,-9.852192
7.456591,-1.434926,-1.875475,-9.064771
7.489922,-0.937962,-2.195561,-7.766170
7.523328,-0.138869,-2.625486,-6.531316
7.556578,-0.065095,-2.959489,-6.451706
7.589933,-0.492924,-2.831993,-7.176576
7.623269,-0.623263,-2.751784,-7.978962
