time_tick,accr_X_value,accr_Y_value,accr_Z_value
0.006906,-0.000002,0.000000,0.000000
0.037760,3.365861,1.956668,0.000000
0.071050,7.009070,2.713849,0.000000
0.104404,7.101653,5.138685,0.000000
0.137730,6.266103,3.073993,0.000000
0.171106,5.164468,2.042500,0.000000
0.203965,5.480856,3.263856,0.000000
0.237780,6.091646,3.553235,0.000000
0.271109,5.791664,3.525296,0.000000
0.304378,5.085648,2.911871,0.000000
0.337791,5.198742,3.424626,0.000000
0.371141,5.737139,3.449442,0.000000
0.404516,5.371710,3.724417,0.000000
0.437766,2.668799,3.922535,0.000000
0.471131,1.623917,3.180702,0.000000
0.504474,2.130969,3.181691,0.000000
0.537789,2.839820,3.983416,0.000000
0.571147,2.889783,3.737496,0.000000
0.604463,2.892454,3.358794,0.000000
0.637770,3.062395,3.396975,0.000000
0.671078,2.939138,3.237706,0.000000
0.704443,2.438266,3.237806,0.000000
0.737810,2.847784,3.244427,0.000000
0.771151,1.170993,3.395957,0.000000
0.804496,1.861040,3.389967,0.000000
0.837818,1.988601,3.776405,0.000000
0.871150,2.772167,4.394288,0.000000
0.904420,2.879906,4.375705,0.000000
0.937740,2.899946,3.855462,0.000000
0.971112,2.752599,3.762798,0.000000
1.004235,2.953276,3.887589,0.000000
1.037745,2.764189,3.893944,0.000000
1.071091,2.961978,4.125519,0.000000
1.104418,3.188822,4.128407,0.000000
1.137715,3.277485,4.005939,0.000000
1.171189,3.381386,4.046424,0.000000
1.204397,3.355793,3.909455,0.000000
1.237742,3.069499,3.828736,0.000000
1.271070,2.958925,3.871077,0.000000
1.304380,2.867243,3.867065,0.000000
1.337731,2.761758,3.815925,0.000000
1.371054,2.894639,3.817773,0.000000
1.404382,2.912534,3.840525,0.000000
1.437770,2.899332,3.849293,0.000000
1.471090,2.957340,3.831907,0.000000
1.504381,3.011265,3.858785,0.000000
1.537721,3.008690,3.871985,0.000000
1.571058,3.083193,3.806314,0.000000
1.604384,3.005527,3.829275,0.000000
1.637724,2.992133,3.842333,0.000000
1.671055,2.950169,3.848049,0.000000
1.704391,2.974272,3.856273,0.000000
1.737724,2.954123,3.851502,0.000000
1.771057,3.000193,3.816548,0.000000
1.804328,3.008136,3.810313,0.000000
1.837729,3.043230,3.828179,0.000000
1.871054,3.043776,3.810500,0.000000
1.904378,2.982537,3.777288,0.000000
1.937725,2.992304,3.831738,0.000000
1.971118,3.038353,3.860915,0.000000
2.004383,2.988793,3.821540,0.000000
2.037720,2.999162,3.826855,0.000000
2.071099,3.020021,3.834398,0.000000
2.104377,3.006600,3.836414,0.000000
2.137718,2.994886,3.861901,0.000000
2.171043,3.013512,3.882175,0.000000
2.204372,3.030820,3.826478,0.000000
2.237770,3.009946,3.838211,0.000000
2.271121,3.088357,3.855224,0.000000
2.304430,2.997358,3.832426,0.000000
2.337721,3.023819,3.784117,0.000000
2.371051,3.002105,3.903400,0.000000
2.404392,3.057922,3.877435,0.000000
2.437720,3.032186,3.907109,0.000000
2.471051,3.003096,3.873943,0.000000
2.504380,3.049288,3.878279,0.000000
2.537720,3.067600,3.855577,0.000000
2.571050,3.059274,3.800486,0.000000
2.604401,3.054486,3.819132,0.000000
2.637718,3.010561,3.875975,0.000000
2.671053,3.004189,3.875521,0.000000
2.704381,3.045320,3.836005,0.000000
2.737722,3.016176,3.852130,0.000000
2.771051,3.045252,3.851175,0.000000
2.804389,3.037738,3.865088,0.000000
2.837719,3.062286,3.882637,0.000000
2.871052,3.072108,3.865893,0.000000
2.904445,3.057232,3.828251,0.000000
2.937719,3.033620,3.810652,0.000000
2.971132,3.032008,3.855312,0.000000
3.004388,3.016551,3.842465,0.000000
3.037748,2.979361,3.819924,0.000000
3.071045,3.031721,3.794584,0.000000
3.104374,3.034829,3.869029,0.000000
3.137721,3.089470,3.897349,0.000000
3.171059,3.131039,3.928550,0.000000
3.204388,3.042444,3.871748,0.000000
3.237728,3.022439,3.844838,0.000000
3.271055,3.057826,3.892803,0.000000
3.304384,3.067197,3.868805,0.000000
3.338299,3.074908,3.844038,0.000000
3.371054,3.062368,3.861497,0.000000
3.404406,3.029112,3.881850,0.000000
3.437714,3.049145,3.845404,0.000000
3.471123,3.046604,3.867330,0.000000
3.504439,3.013676,3.863105,0.000000
3.537719,3.044596,3.845442,0.000000
3.571050,3.046488,3.868987,0.000000
3.604403,3.078904,3.857240,0.000000
3.637820,3.067948,3.835269,0.000000
3.671053,3.049152,3.834311,0.000000
3.704381,3.031851,3.846591,0.000000
3.737761,3.009250,3.885064,0.000000
3.771060,3.028224,3.821257,0.000000
3.804412,2.985645,3.807125,0.000000
3.837719,3.047424,3.781726,0.000000
3.871052,3.059254,3.867863,0.000000
3.904376,3.115200,3.922715,0.000000
3.937711,3.116101,3.960557,0.000000
3.971053,3.016264,3.846383,0.000000
4.004579,3.028975,3.818271,0.000000
4.037717,3.061549,3.856248,0.000000
4.071057,3.064233,3.849941,0.000000
4.104394,3.109531,3.847070,0.000000
