time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.013130,0.470627,9.150666,-3.383577
0.046395,0.543354,9.157999,-3.475457
0.079723,0.733999,9.211721,-3.542497
0.113136,0.593035,9.082728,-3.495809
0.146379,0.496515,9.138545,-3.611333
0.179770,0.680875,9.231324,-3.552224
0.213101,0.558467,9.139443,-3.506134
0.246535,0.483945,9.209326,-3.537260
0.279751,0.587648,9.181044,-3.516609
0.313136,0.609945,9.140341,-3.526037
0.346402,0.506092,9.105923,-3.614925
0.379765,0.621766,9.144232,-3.617169
0.413077,0.593634,9.139742,-3.553721
0.446447,0.543653,9.146476,-3.557611
0.479769,0.545000,9.133008,-3.634378
0.513095,0.611441,9.140790,-3.598165
0.546439,0.554277,9.103529,-3.564196
0.579777,0.515670,9.114752,-3.697827
0.613111,0.552631,9.130165,-3.572426
0.646418,0.609196,9.168174,-3.587540
0.679695,0.497563,9.140191,-3.557462
0.713096,0.536320,9.178200,-3.547286
0.746409,0.559964,9.167127,-3.463187
0.779755,0.537517,9.148422,-3.574371
0.813087,0.545748,9.099788,-3.640813
0.846404,0.598123,9.166079,-3.543246
0.879642,0.525247,9.160992,-3.565842
0.913105,0.559814,9.134654,-3.524690
0.946407,0.512377,9.157550,-3.477253
0.979770,0.584505,9.217257,-3.521996
1.013080,0.539463,9.138695,-3.514065
1.046401,0.492625,9.107419,-3.552075
1.079759,0.535422,9.205585,-3.472465
1.113091,0.513425,9.197355,-3.513616
1.146436,0.554277,9.161440,-3.554918
1.179765,0.585852,9.232820,-3.560754
1.213082,0.550836,9.214264,-3.492068
1.246408,0.490979,9.172514,-3.555516
1.279739,0.553978,9.182690,-3.460194
1.313497,0.478857,9.176854,-3.542797
1.346773,0.534076,9.174759,-3.533070
1.380130,0.529586,9.138844,-3.573623
1.413489,0.452520,9.162338,-3.582303
1.446864,0.536620,9.181642,-3.492816
1.480159,0.478857,9.128968,-3.515262
1.513499,0.524199,9.172065,-3.580357
1.546808,0.557121,9.160393,-3.495659
1.580128,0.502950,9.112058,-3.559557
1.613480,0.524798,9.121486,-3.556265
1.646825,0.586002,9.191219,-3.595770
1.680120,0.405083,9.132410,-3.529927
1.713467,0.508936,9.149768,-3.564345
1.746877,0.516717,9.128220,-3.558060
1.779876,0.496216,9.139293,-3.556414
1.813470,0.584505,9.157999,-3.612680
1.846795,0.507888,9.141688,-3.560455
1.880141,0.495169,9.151265,-3.613728
1.913470,0.478109,9.166379,-3.566141
1.946798,0.474368,9.126125,-3.577514
1.980177,0.548292,9.146027,-3.499550
2.013474,0.504147,9.159046,-3.557911
2.046845,0.534674,9.136749,-3.617020
2.080182,0.569391,9.102332,-3.562550
2.113459,0.417205,9.109065,-3.608191
2.146811,0.509834,9.133607,-3.652485
2.180181,0.604258,9.174160,-3.716981
2.213498,0.536320,9.133008,-3.619564
2.246809,0.486639,9.149619,-3.549381
2.279782,0.556073,9.178649,-3.589934
2.313460,0.534824,9.153210,-3.618965
2.346827,0.420048,9.134505,-3.594274
2.380138,0.512078,9.150816,-3.559557
2.413511,0.476313,9.124479,-3.566141
2.446804,0.537817,9.181493,-3.604300
2.480183,0.495917,9.135852,-3.577664
2.513466,0.495767,9.128369,-3.574371
2.546779,0.463145,9.127771,-3.551775
2.580137,0.482449,9.147673,-3.573773
2.613459,0.447432,9.140191,-3.535913
2.646719,0.496665,9.130315,-3.535315
2.680139,0.483796,9.128669,-3.469322
2.713460,0.521506,9.165780,-3.505236
2.746792,0.463295,9.145129,-3.596519
2.779522,0.529586,9.212319,-3.572875
2.813485,0.426782,9.153659,-3.640364
2.846795,0.451922,9.158148,-3.546538
2.880148,0.528389,9.153958,-3.628393
2.913456,0.468682,9.072852,-3.638568
2.946802,0.509684,9.131362,-3.534267
2.980184,0.510881,9.171915,-3.543844
3.013456,0.439801,9.093802,-3.618965
3.046797,0.515670,9.223243,-3.533369
3.080150,0.455214,9.163236,-3.545341
3.113462,0.374856,9.120738,-3.612381
3.146795,0.441896,9.067614,-3.729551
3.180189,0.557270,9.149020,-3.653682
3.213458,0.424387,9.108018,-3.741523
3.246827,0.459404,9.124329,-3.732394
3.279351,0.465090,9.163835,-3.660715
3.313475,0.367972,9.146775,-3.662810
3.346816,0.417653,9.170269,-3.637521
3.380134,0.504895,9.127472,-3.616122
3.413490,0.391915,9.068662,-3.567488
3.446814,0.408825,9.115201,-3.579310
3.480149,0.405383,9.120887,-3.554469
3.513507,0.433366,9.126424,-3.710098
3.546817,0.366176,9.191668,-3.660117
3.580173,0.431121,9.099339,-3.673884
3.613467,0.441596,9.108766,-3.750501
3.646796,0.389820,9.115051,-3.690045
3.680136,0.385480,9.125227,-3.652186
3.713484,0.398200,9.093652,-3.655628
3.746808,0.402689,9.141239,-3.618815
3.779190,0.337295,9.137498,-3.624203
3.813506,0.405832,9.158148,-3.507481
3.846787,0.345974,9.105923,-3.581854
3.879933,0.402689,9.094550,-3.698874
3.913463,0.340438,9.108168,-3.604150
3.946797,0.361238,9.134654,-3.692290
3.980103,0.359891,9.132110,-3.631535
4.013459,0.421544,9.116697,-3.722219
4.046801,0.372162,9.133757,-3.638868
4.080083,0.410171,9.153958,-3.619264
4.113432,0.347172,9.134505,-3.657274
4.146771,0.353307,9.178350,-3.602504
4.180095,0.398050,9.151414,-3.625100
4.213428,0.363632,9.121486,-3.672238
4.246759,0.375454,9.130015,-3.681216
4.279482,0.394160,9.144830,-3.691542
4.313428,0.368720,9.119092,-3.688998
4.346765,0.353157,9.133308,-3.656076
4.380122,0.368421,9.126723,-3.690195
4.413422,0.409722,9.141538,-3.647098
4.446759,0.415858,9.123880,-3.619713
4.480086,0.354354,9.095448,-3.632433
4.513454,0.375753,9.162787,-3.641860
4.546777,0.398948,9.129118,-3.555067
4.580093,0.427380,9.207830,-3.643656
4.613426,0.293300,9.127621,-3.648295
4.646758,0.256189,9.146327,-3.581105
4.680099,0.388623,9.176854,-3.505536
4.713422,0.386677,9.171915,-3.611932
4.746781,0.396853,9.152462,-3.584547
4.780110,0.310659,9.116248,-3.630488
4.813445,0.417953,9.182690,-3.600559
4.846823,0.356300,9.120738,-3.645452
4.880138,0.332656,9.119391,-3.626746
4.913488,0.376053,9.127172,-3.633031
4.946869,0.397901,9.107868,-3.682863
4.980140,0.366925,9.167277,-3.595621
5.013471,0.339390,9.112208,-3.593825
5.046779,0.312305,9.103678,-3.482042
5.080139,0.392065,9.168623,-3.518704
5.113484,0.413912,9.162039,-3.612081
5.146783,0.356300,9.149768,-3.620162
5.180151,0.318291,9.121635,-3.610884
5.212818,0.392962,9.150816,-3.615224
5.246796,0.382038,9.137797,-3.648295
5.280146,0.349416,9.123880,-3.584398
5.313466,0.390718,9.178350,-3.547885
5.346828,0.368271,9.109215,-3.534417
5.379351,0.379943,9.144531,-3.569284
5.413485,0.465090,9.193015,-3.606395
5.446809,0.311557,9.153809,-3.579759
5.480132,0.332357,9.095149,-3.622706
5.513468,0.402689,9.204089,-3.535764
5.546803,0.420048,9.161141,-3.600110
5.579849,0.377848,9.105324,-3.755888
5.613460,0.394309,9.155604,-3.558360
5.646821,0.406131,9.183438,-3.627794
5.680134,0.430523,9.149918,-3.669095
5.713458,0.430672,9.171467,-3.575419
5.746862,0.341934,9.118343,-3.550429
5.780137,0.418102,9.143184,-3.583500
5.813477,0.462995,9.146626,-3.704561
5.846809,0.469879,9.172065,-3.700072
5.880138,0.335499,9.136450,-3.636024
5.913461,0.391616,9.141987,-3.568086
5.946693,0.448779,9.121486,-3.643955
5.980126,0.424687,9.121486,-3.667749
6.013468,0.422891,9.160243,-3.597566
6.046820,0.393262,9.108766,-3.610735
6.079664,0.446086,9.142137,-3.630039
6.113449,0.370815,9.137049,-3.630936
6.146793,0.404335,9.129567,-3.665354
6.180101,0.461200,9.146626,-3.574371
6.213506,0.442793,9.156053,-3.579459
6.246878,0.334003,9.149619,-3.712492
6.280129,0.317093,9.107270,-3.602205
6.313460,0.508337,9.226685,-3.578711
6.346836,0.255291,9.087816,-3.579160
6.380158,0.357048,9.125526,-3.620761
6.413486,0.576125,9.187329,-3.649193
6.446851,0.271752,9.083776,-3.645901
6.480126,0.285968,9.071804,-3.677176
6.513458,0.455363,9.157250,-3.681067
6.546738,0.358545,9.095149,-3.685706
6.579488,0.371563,9.111460,-3.664456
6.613478,0.397901,9.166678,-3.583200
6.646866,0.338792,9.167426,-3.620013
6.680075,0.300333,9.148870,-3.536961
6.713513,0.371563,9.111759,-3.736285
6.746793,0.390418,9.131213,-3.688250
6.780140,0.324725,9.140790,-3.705908
6.813476,0.267412,9.114453,-3.634827
6.846777,0.438304,9.159944,-3.554170
6.880179,0.299136,9.096944,-3.668646
6.913460,0.345226,9.148571,-3.634528
6.946834,0.357198,9.188376,-3.580208
6.980188,0.288362,9.106970,-3.587989
7.013459,0.332507,9.131213,-3.652186
7.046811,0.330711,9.153659,-3.582751
7.080128,0.303326,9.118942,-3.716383
7.113464,0.315747,9.106222,-3.688549
7.146808,0.310958,9.095149,-3.574970
7.180105,0.341784,9.162488,-3.609687
7.213499,0.326222,9.128968,-3.675231
7.246774,0.326970,9.150666,-3.603253
7.280140,0.248557,9.124329,-3.601307
7.313461,0.345974,9.148571,-3.672088
7.346826,0.331758,9.134205,-3.701867
7.380536,0.329514,9.076892,-3.610735
7.413470,0.335499,9.152013,-3.612381
7.446810,0.320086,9.166229,-3.592927
7.480332,0.364830,9.158747,-3.626896
7.513462,0.319637,9.156353,-3.619414
7.546813,0.325324,9.173262,-3.540253
7.580117,0.361088,9.166379,-3.583799
7.613489,0.318590,9.111909,-3.514664
7.646794,0.336697,9.121486,-3.566590
7.680193,0.311856,9.126873,-3.656675
