time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.012891,5.276410,5.944416,-6.143591
0.046225,5.047756,5.385650,-5.805099
0.079546,4.077770,5.092200,-5.312624
0.112916,3.800332,5.145772,-5.398669
0.146215,5.341804,4.802491,-7.058957
0.179173,5.033241,4.904398,-6.798878
0.212868,4.245969,5.280900,-4.999870
0.246266,4.780194,5.063169,-5.163729
0.279560,4.387681,5.993799,-7.256037
0.312946,5.244536,4.863246,-9.460726
0.346218,4.986253,5.124972,-6.141945
0.378753,4.632646,6.646691,-3.315190
0.412899,4.938517,7.045040,-4.197036
0.446224,7.617873,7.047584,-4.902004
0.479556,6.533411,5.689724,-6.733035
0.512848,7.460299,5.988561,-7.147845
0.546209,9.473296,7.898155,-4.574136
0.579197,9.938536,8.190108,-3.780579
0.612876,8.167961,7.946639,-3.138162
0.646282,7.435608,6.615715,-1.724336
0.679558,5.461818,5.762451,-1.536384
0.712905,4.776753,5.255760,-1.886100
0.745941,5.392683,4.677090,-1.313416
0.779551,6.775084,6.398283,0.066142
0.812880,5.131706,7.362732,-0.073175
0.846293,3.875453,6.611225,-0.916713
0.878739,7.985247,7.099810,-0.964898
0.912193,9.559790,6.926074,-0.795502
0.946241,8.482810,6.790049,-0.440549
0.979554,9.765699,7.734146,-1.409936
1.012822,10.221361,11.415961,-0.331908
1.046255,9.043073,6.006369,-2.401320
1.079958,8.574541,5.440569,0.232545
1.112882,6.433001,3.907177,0.554277
1.146235,4.865640,1.620633,0.135876
1.179909,1.857967,2.028111,-1.218842
1.212913,1.150754,4.684872,0.205759
1.246227,2.050408,6.432252,-0.269806
1.279546,5.208173,8.169457,-0.283274
1.312888,8.773566,8.439862,0.154731
1.346248,12.371132,6.326605,0.322780
1.379556,10.159858,9.349392,-4.790220
1.411988,5.027255,10.511370,-3.370558
1.445891,5.100879,9.687286,-2.199452
1.479705,5.377868,8.732414,-0.886036
1.512870,5.680895,7.832611,-1.379558
1.545947,6.438388,6.667491,-0.613835
1.579633,5.957585,9.381565,0.298538
1.612914,6.421628,11.058165,1.869938
1.646262,6.798728,10.437745,-0.671149
1.679556,5.500127,10.086533,-3.367415
1.712879,5.342852,11.694746,-0.582111
1.746291,5.551155,11.340242,0.230450
